ID_PERUSAHAAN,NIB,NPWP,NAMA_PERUSAHAAN,ALAMAT_PERUSAHAAN,KELURAHAN,DAERAH_ID,KODE_POS,NOMOR_TELPON,KATEGORI,NIPER,NOMOR_API,TGL_TERBIT_NIB,STATUS_NIB
C000000,1043321819600,13.389.083.8-637.940,PT Saefullah,Jl. Dr. Djunjunan No. 8,Malang,3715,96001,+62-46-100-7923,KEDUA-DUANYA,4803163678,1752481353,2023-07-23,AKTIF
C000001,6542351161559,40.781.618.4-959.310,CV Mayasari Suartini,Gg. Merdeka No. 94,Pagaralam,4833,26542,(000) 128-3827,KEDUA-DUANYA,3930395395,2608853298,2023-08-16,AKTIF
C000002,4131647525534,19.283.276.4-835.030,UD Jailani Iswahyudi,Gg. Sentot Alibasa No. 4,Bekasi,6268,78161,+62 (32) 961-5120,IMPORTIR,1149974754,7377049909,2024-10-30,AKTIF
C000003,6413953767242,388496965328710,Perum Tarihoran (Persero) Tbk,Jl. PHH. Mustofa No. 316,Prabumulih,2896,75255,+62 (076) 653-4460,EKSPORTIR,5659773961,0340573689,2025-04-19,AKTIF
C000004,2269166978480,18.451.462.7-048.281,UD Zulaika Yuliarti,Jalan Jamika No. 64,Sungai Penuh,5989,50305,+62 (27) 634-6019,IMPORTIR,4175694307,2188771699,2023-08-17,AKTIF
C000005,8932528809570,15.430.391.1-718.227,UD Haryanto Prabowo Tbk,Gang H.J Maemunah No. 24,Kendari,3805,38849,+62-57-347-2435,IMPORTIR,6341104857,8671265728,2024-08-16,AKTIF
C000006,4896383465787,13.315.098.3-930.103,Perum Wacana Tarihoran (Persero) Tbk,Jalan Cikapayang No. 226,Bau-Bau,2204,66978,(0682) 251-2726,KEDUA-DUANYA,1278988524,9919608415,2024-05-26,AKTIF
C000007,0518347382997,37.631.165.6-670.106,Perum Anggriawan (Persero) Tbk,Jalan PHH. Mustofa No. 27,Pekanbaru,6659,48281,(066) 562 2419,EKSPORTIR,3730437631,8559670716,2025-04-22,AKTIF
C000008,1333872624731,78.108.013.2-677.360,Perum Sudiati (Persero) Tbk,Jalan R.E Martadinata No. 0,Padang Sidempuan,3797,70154,0878494771,KEDUA-DUANYA,1440004075,6023106407,2024-11-05,AKTIF
C000009,6064746872343,09.805.009.7-882.081,PT Permadi Purnawati,Gg. Cikutra Timur No. 2,Sawahlunto,4144,78248,+62-035-006-1848,EKSPORTIR,8228854273,4497992519,2024-08-22,AKTIF
C000010,1913619399091,69.985.435.3-462.475,CV Namaga Pangestu Tbk,Gang M.T Haryono No. 13,Langsa,2288,15098,+62 (23) 543 4046,KEDUA-DUANYA,5475878371,0539259067,2025-04-22,AKTIF
C000011,0799118384251,35.427.849.8-084.124,Perum Prasetya Ardianto,Jl. Cikutra Timur No. 518,Purwokerto,2991,47382,+62 (12) 156 4952,EKSPORTIR,0174304025,6004131667,2024-03-13,AKTIF
C000012,1824493534874,01.640.052.4-278.680,CV Kusmawati Wasita (Persero) Tbk,Gg. Setiabudhi No. 67,Samarinda,2932,10651,+62 (06) 441-1197,IMPORTIR,7127971763,5064272990,2025-01-31,AKTIF
C000013,1280598262045,05.331.586.9-232.260,CV Nainggolan Nasyiah,Gg. K.H. Wahid Hasyim No. 73,Probolinggo,4038,78108,0818273063,IMPORTIR,7676227025,4316391584,2024-02-03,AKTIF
C000014,5634216073375,43.303.654.1-458.685,PT Prakasa,Gang Ronggowarsito No. 602,Makassar,1552,06474,+62 (0882) 188-4968,EKSPORTIR,6046782036,9061550261,2023-06-28,AKTIF
C000015,1429401965569,81.693.406.0-883.561,Perum Wijayanti Laksita (Persero) Tbk,Jalan Cikutra Barat No. 8,Padang,6509,50097,+62 (0051) 102 1254,EKSPORTIR,3122066766,5405324216,2023-11-09,AKTIF
C000016,9514846564823,66.299.468.0-443.699,PT Melani Hutapea,Jl. Tebet Barat Dalam No. 619,Bau-Bau,6379,99091,+62 (30) 160-4986,KEDUA-DUANYA,2861780581,3805732136,2023-06-13,AKTIF
C000017,7773872148951,34.332.003.7-917.693,Perum Pratiwi Nurdiyanti Tbk,Gg. Moch. Toha No. 62,Payakumbuh,7391,75107,+62 (18) 600 3203,KEDUA-DUANYA,8645552615,1070557052,2023-08-30,AKTIF
C000018,7632016328708,31.727.889.5-798.687,PT Nasyiah,Jalan Sentot Alibasa No. 354,Purwokerto,3707,78498,+62-011-400-3471,KEDUA-DUANYA,7441235998,9625869263,2023-12-13,AKTIF
C000019,7743487347143,45.581.223.6-231.665,Perum Salahudin,Gg. Gardujati No. 824,Tomohon,8733,93534,(0197) 860-1625,IMPORTIR,5515179751,9378495312,2024-11-22,AKTIF
C000020,6036690967054,66.889.373.4-670.656,UD Habibi Iswahyudi Tbk,Jl. Rumah Sakit No. 427,Tebingtinggi,3804,80112,084 194 7855,EKSPORTIR,5801976213,4616461526,2025-05-25,AKTIF
C000021,7298069901627,20.465.375.5-646.417,UD Padmasari,Jalan Cihampelas No. 50,Sorong,1417,33158,+62 (013) 753-5821,IMPORTIR,4708101481,2971988408,2023-06-27,AKTIF
C000022,8053100330923,27.193.745.2-991.241,Perum Mangunsong Prakasa (Persero) Tbk,Jalan Jend. Sudirman No. 5,Cimahi,1520,34216,0887807279,EKSPORTIR,4812681793,0080588990,2025-01-20,AKTIF
C000023,4966319314919,05.865.185.0-671.657,PD Prasetya,Gang Rajawali Timur No. 303,Tasikmalaya,3606,54145,+62-0716-160-8819,IMPORTIR,8140334050,8105635869,2024-06-09,AKTIF
C000024,6284987769453,14.737.996.5-075.273,Perum Sitompul Dabukke (Persero) Tbk,Gg. BKR No. 965,Blitar,6913,69816,+62-996-477-1837,IMPORTIR,1166946021,2467642812,2024-02-28,AKTIF
C000025,4549480831367,83.777.014.3-634.957,UD Gunawan Fujiati,Gg. Bangka Raya No. 595,Banjar,9798,48465,(0681) 024 8085,KEDUA-DUANYA,3620749884,9591260920,2025-02-08,AKTIF
C000026,5685574443135,18.233.749.8-941.343,UD Puspasari Mahendra (Persero) Tbk,Jalan Kendalsari No. 4,Pangkalpinang,7012,80443,080 024 4323,KEDUA-DUANYA,6565716657,8130499504,2025-04-20,AKTIF
C000027,2408240084271,09.477.752.0-471.167,Perum Sudiati Yolanda Tbk,Gang Tebet Barat Dalam No. 872,Denpasar,2313,48951,+62 (16) 906-9685,EKSPORTIR,4164508629,5322307248,2025-03-28,AKTIF
C000028,9022941318699,938677496499091,UD Prasetyo Napitupulu,Jl. Pacuan Kuda No. 91,Kota Administrasi Jakarta Selatan,4504,69367,(070) 675 1691,IMPORTIR,6139557458,6180583934,2023-12-18,AKTIF
C000029,3412328120679,74.034.471.3-493.618,CV Maulana Yolanda (Persero) Tbk,Jalan Jend. Sudirman No. 8,Tanjungpinang,4783,08317,+62 (15) 016 4261,EKSPORTIR,4278859881,9206965693,2023-06-13,AKTIF
C000030,2421024994717,46.488.771.9-065.940,PD Widiastuti Nuraini,Gang M.H Thamrin No. 27,Balikpapan,2596,43487,+62-350-842-4319,IMPORTIR,7622368312,7534183995,2024-08-01,AKTIF
C000031,3990490278742,96.717.565.5-125.674,UD Farida Hutagalung,Gg. Rumah Sakit No. 81,Samarinda,7661,23623,+62 (48) 481 3004,KEDUA-DUANYA,0228017710,6294502694,2025-05-19,AKTIF
C000032,8071545168087,60.385.977.0-348.247,PD Wasita,Gang Cikutra Barat No. 669,Ternate,9041,96705,(091) 053-0215,IMPORTIR,4143910323,1866790667,2025-05-18,AKTIF
C000033,1093248086131,71.274.846.7-737.826,PD Andriani (Persero) Tbk,Gg. Bangka Raya No. 06,Metro,4222,62729,(0586) 463-3953,KEDUA-DUANYA,2011040838,4378260187,2024-02-05,AKTIF
C000034,9821465840449,97.278.755.8-867.533,PD Rahayu,Gg. HOS. Cokroaminoto No. 20,Bekasi,7374,65375,+62-50-147-6427,EKSPORTIR,3342253939,2242577727,2024-07-06,AKTIF
C000035,3605766270289,51.718.702.6-217.459,PD Setiawan Tbk,Gg. Asia Afrika No. 8,Bitung,7612,53100,+62 (738) 551 2817,IMPORTIR,2188521148,4603638396,2025-05-14,AKTIF
C000036,1586578091343,16.117.240.0-504.556,CV Damanik Oktaviani,Jl. Waringin No. 1,Magelang,3485,74529,+62 (023) 959-7815,KEDUA-DUANYA,4204759835,8947706939,2024-03-17,AKTIF
C000037,3869222196937,92.374.740.7-482.175,Saragih,Gg. Joyoboyo No. 6,Bukittinggi,6001,31931,(009) 723 6024,KEDUA-DUANYA,0254616794,6778189863,2025-02-10,AKTIF
C000038,6474367136959,440640909743953,Perum Lazuardi (Persero) Tbk,Gang Cikutra Timur No. 5,Palangkaraya,4215,67165,+62 (467) 720-5171,IMPORTIR,9594592118,5723501947,2023-07-01,AKTIF
C000039,9421047095214,56.232.858.8-424.745,CV Fujiati Nugroho Tbk,Gang Kutai No. 53,Gorontalo,2986,47379,+62-087-156-4783,EKSPORTIR,3896549977,9178220081,2024-06-17,AKTIF
C000040,7123685160481,75.496.513.7-098.593,UD Dabukke Lailasari Tbk,Jalan Setiabudhi No. 54,Jambi,2135,80831,+62 (075) 438-0274,IMPORTIR,8669062515,7595149096,2025-03-08,AKTIF
C000041,7461200471138,26.758.692.6-179.640,PD Lestari Puspita,Gang Cihampelas No. 143,Langsa,7170,34957,085 726 0292,IMPORTIR,8004587242,2749665294,2024-02-23,AKTIF
C000042,3773515850643,171390053293183,PD Pudjiastuti Tbk,Gang Rajawali Timur No. 31,Yogyakarta,4638,51823,(086) 272 8840,EKSPORTIR,1719725123,4335367577,2024-05-23,AKTIF
C000043,3529042284210,20.539.502.4-026.811,PD Saefullah Rahmawati,Jl. PHH. Mustofa No. 524,Pagaralam,8902,82400,+62 (0207) 632 7135,IMPORTIR,6587503104,9791407712,2023-11-18,AKTIF
C000044,7589178390847,00.766.177.1-159.212,CV Uyainah Tbk,Gg. Waringin No. 75,Parepare,5605,04711,(025) 923-8687,IMPORTIR,9907466697,4721712435,2024-09-23,AKTIF
C000045,9985698478961,18.367.365.7-661.565,PD Hidayanto Permata (Persero) Tbk,Gg. Ciwastra No. 186,Padang Sidempuan,5276,86774,+62-48-869-3205,KEDUA-DUANYA,0325369525,5876735078,2025-02-04,AKTIF
C000046,5271111615280,98.851.656.0-494.519,UD Purnawati Safitri (Persero) Tbk,Jl. Pasirkoja No. 1,Kendari,9413,32812,+62 (0050) 892 7396,IMPORTIR,8394764612,6149936319,2025-01-06,AKTIF
