NIB,NPWP_PERSEROAN,NAMA_PERSEROAN,NAMA_SINGKATAN,JENIS_PERSEROAN,STATUS_BADAN_HUKUM,STATUS_PERSEROAN,ALAMAT_PERSEROAN,KELURAHAN_PERSEROAN,PERSEROAN_DAERAH_ID,KODE_POS_PERSEROAN,FLAG_IMPOR,FLAG_EKSPOR,JENIS_API,TGL_PERUBAHAN_NIB,STATUS_NIB,FLAG_MITA,FLAG_AEO,NAMA_PERSEROAN_CLEAN,NPWP_CLEAN
1043321819600.0,13.389.083.8-637.940,PT Saefullah,PT Saefull,PT,Berbadan Hukum,Aktif,Jl. Dr. Djunjunan No. 8,Balikpapan,3715,96001,Y,Y,API-U,2025-10-04,AKTIF,Y,N,PT SAEFULLAH,13.389.083.8-637.940
6542351161559.0,40.781.618.4-959.310,CV Mayasari Suartini,CV Mayasar,Koperasi,Berbadan Hukum,Aktif,Gg. Merdeka No. 94,Cimahi,4833,26542,N,Y,API-U,2025-12-02,AKTIF,N,N,CV MAYASARI SUARTINI,40.781.618.4-959.310
4131647525534.0,19.283.276.4-835.030,UD Jailani Iswahyudi,UD Jailani,CV,Berbadan Hukum,Aktif,Gg. Sentot Alibasa No. 4,Blitar,6268,78161,N,Y,API-U,2026-05-03,AKTIF,N,Y,UD JAILANI ISWAHYUDI,19.283.276.4-835.030
6413953767242.0,38.849.696.5-328.710,Perum Tarihoran (Persero) Tbk,Perum Tari,CV,Berbadan Hukum,Aktif,Jl. PHH. Mustofa No. 316,Meulaboh,2896,75255,N,N,API-P,2025-07-31,AKTIF,Y,Y,PERUM TARIHORAN PERSERO TBK,38.849.696.5-328.710
2269166978480.0,18.451.462.7-048.281,UD Zulaika Yuliarti,UD Zulaika,PT,Berbadan Hukum,Aktif,Jl. Jamika No. 64,Bitung,5989,50305,Y,N,API-P,2025-07-13,AKTIF,Y,Y,UD ZULAIKA YULIARTI,18.451.462.7-048.281
8932528809570.0,15.430.391.1-718.227,UD Haryanto Prabowo Tbk,UD Haryant,PT,Berbadan Hukum,Aktif,Gang H.J Maemunah No. 24,Bontang,3805,38849,N,N,API-U,2025-09-16,AKTIF,N,Y,UD HARYANTO PRABOWO TBK,15.430.391.1-718.227
4896383465787.0,13.315.098.3-930.103,Perum Wacana Tarihoran (Persero) Tbk,Perum Waca,PT,Berbadan Hukum,Aktif,Jalan Cikapayang No. 226,Padang Sidempuan,2204,66978,Y,N,API-P,2026-02-22,AKTIF,N,Y,PERUM WACANA TARIHORAN PERSERO TBK,13.315.098.3-930.103
518347382997.0,37.631.165.6-670.106,Perum Anggriawan (Persero) Tbk,Perum Angg,Koperasi,Berbadan Hukum,Aktif,Jalan PHH. Mustofa No. 27,Ternate,6659,48281,Y,N,API-P,2025-10-20,AKTIF,Y,Y,PERUM ANGGRIAWAN PERSERO TBK,37.631.165.6-670.106
1333872624731.0,78.108.013.2-677.360,Perum Sudiati (Persero) Tbk,Perum Sudi,PT,Berbadan Hukum,Aktif,Jalan R.E Martadinata No. 0,Kota Administrasi Jakarta Timur,3797,70154,Y,Y,API-U,2026-02-25,AKTIF,Y,N,PERUM SUDIATI PERSERO TBK,78.108.013.2-677.360
6064746872343.0,09.805.009.7-882.081,PT PERMADI PURNAWATI,PT PERMADI,CV,Berbadan Hukum,Aktif,Gg. Cikutra Timur No. 2,Bengkulu,4144,78248,N,Y,API-U,2026-02-27,AKTIF,N,Y,PT PERMADI PURNAWATI,09.805.009.7-882.081
1913619399091.0,69.985.435.3-462.475,CV Namaga Pangestu Tbk,CV Namaga ,PT,Berbadan Hukum,Aktif,Gang M.T Haryono No. 13,Prabumulih,2288,15098,Y,Y,API-U,2026-03-21,AKTIF,Y,N,CV NAMAGA PANGESTU TBK,69.985.435.3-462.475
799118384251.0,35.427.849.8-084.124,Perum Prasetya Ardianto,Perum Pras,PT,Berbadan Hukum,Aktif,Jl. Cikutra Timur No. 518,Serang,2991,47382,Y,N,API-U,2026-03-02,AKTIF,Y,N,PERUM PRASETYA ARDIANTO,35.427.849.8-084.124
1824493534874.0,01.640.052.4-278.680,CV Kusmawati Wasita (Persero) Tbk,CV Kusmawa,CV,Berbadan Hukum,Aktif,Gg. Setiabudhi No. 67,Ternate,2932,10651,Y,Y,API-U,2026-02-05,AKTIF,Y,Y,CV KUSMAWATI WASITA PERSERO TBK,01.640.052.4-278.680
1280598262045.0,05.331.586.9-232.260,CV Nainggolan Nasyiah,CV Nainggo,CV,Berbadan Hukum,Aktif,Gg. K.H. Wahid Hasyim No. 73,Bontang,4038,78108,Y,N,API-U,2026-02-12,AKTIF,N,N,CV NAINGGOLAN NASYIAH,05.331.586.9-232.260
5634216073375.0,43.303.654.1-458.685,PT Prakasa,PT Prakasa,Koperasi,Berbadan Hukum,Aktif,Gang Ronggowarsito No. 602,Tebingtinggi,1552,6474,N,Y,API-U,2025-10-07,AKTIF,Y,N,PT PRAKASA,43.303.654.1-458.685
1429401965569.0,81.693.406.0-883.561,Perum Wijayanti Laksita (Persero) Tbk,Perum Wija,Koperasi,Berbadan Hukum,Aktif,Jalan Cikutra Barat No. 8,Surabaya,6509,50097,Y,Y,API-U,2026-01-28,AKTIF,N,Y,PERUM WIJAYANTI LAKSITA PERSERO TBK,81.693.406.0-883.561
9514846564823.0,66.299.468.0-443.699,PT Melani Hutapea,PT Melani ,Koperasi,Berbadan Hukum,Aktif,Jl. Tebet Barat Dalam No. 619,Kota Administrasi Jakarta Selatan,6379,99091,N,N,API-P,2025-09-02,AKTIF,Y,N,PT MELANI HUTAPEA,66.299.468.0-443.699
7773872148951.0,34.332.003.7-917.693,PERUM PRATIWI NURDIYANTI TBK,PERUM PRAT,Koperasi,Berbadan Hukum,Aktif,Gg. Moch. Toha No. 62,Sabang,7391,75107,N,Y,API-P,2025-10-18,AKTIF,N,N,PERUM PRATIWI NURDIYANTI TBK,34.332.003.7-917.693
7632016328708.0,31.727.889.5-798.687,PT Nasyiah,PT Nasyiah,CV,Berbadan Hukum,Aktif,Jalan Sentot Alibasa No. 354,Bogor,3707,78498,Y,N,API-P,2026-03-15,AKTIF,Y,N,PT NASYIAH,31.727.889.5-798.687
7743487347143.0,45.581.223.6-231.665,Perum Salahudin,Perum Sala,CV,Berbadan Hukum,Aktif,Gg. Gardujati No. 824,Palu,8733,93534,N,N,API-U,2025-08-20,AKTIF,N,Y,PERUM SALAHUDIN,45.581.223.6-231.665
