NIB,NPWP,OSS_ID,NAMA_PERUSAHAAN,NAMA_SINGKATAN,ALAMAT,KELURAHAN,DAERAH_ID,KODE_POS,NOMOR_TELPON,JENIS_PERSEROAN,STATUS_BADAN_HUKUM,STATUS_PERSEROAN,FLAG_IMPOR,FLAG_EKSPOR,JENIS_API,NOMOR_API,NIPER,TGL_PERUBAHAN_NIB,STATUS_NIB
676014279656,95.936.984.4-196.993,OSS-9602078,PERUM SETIAWAN SIHOTANG TBK,PERUM SETI,Gang Rumah Sakit No. 4,DENPASAR,ID-73,5203,(0416) 884 6245,Perum,TERDAFTAR,TIDAK AKTIF,1,0,API-U,20574-API,,2026-01-13,AKTIF
687877991394,11.582.421.2-297.505,OSS-9913153,PERUM NARPATI RAHIMAH TBK DUPLICATE,PERUM NARP,Jl. Moch. Ramdan No. 74,BUKITTINGGI,ID-91,61481,(037) 113 4544,PT,DISAHKAN,AKTIF,0,0,,,,2026-01-01,AKTIF
612620343839,9136034330043,OSS-4481127,CV TAMBA PERSERO TBK,TAMBA (PER,Jalan Otto Iskandardinata No. 846,SUBULUSSALAM,ID-76,47222,(0713) 472 9481,CV,PROSES,DIBEKUKAN,0,0,,,,2026-02-19,AKTIF
719127593955,71.421.162.2-065.910,OSS-0443643,UD SIREGAR RAMADAN PERSERO TBK DUPLICATE,UD SIREGAR,Jalan Pasir Koja No. 200,SORONG,ID-83,27683,+62 (278) 087 8571,Firma,TERDAFTAR,DIBEKUKAN,1,1,API-P,09338-API,NIPER-53000,2026-02-03,AKTIF
140551629772,91.616.934.9-617.464,OSS-8782079,CV HALIM TBK DUPLICATE,HALIM TBK,Jalan Pasteur No. 6,PRABUMULIH,ID-28,71530,+62-763-174-8167,CV,TERDAFTAR,DIBEKUKAN,1,1,API-U,43121-API,NIPER-82725,2026-02-17,AKTIF
836249215156,94.438.787.1-713.593,OSS-5891054,UD ASTUTI MANULLANG DUPLICATE,UD ASTUTI,Gg. Pelajar Pejuang No. 316,YOGYAKARTA,ID-82,9928,(087) 842-7751,Firma,PROSES,DIBEKUKAN,1,1,API-U,53672-API,NIPER-09750,2026-01-12,AKTIF
175252324342,13.957.965.6-280.733,OSS-5006455,UD MARYATI DUPLICATE,UD MARYATI,Jalan Waringin No. 8,PEMATANGSIANTAR,ID-90,25587,+62 (93) 706-2587,PT,PROSES,DIBEKUKAN,1,0,API-U,36080-API,,2026-01-17,AKTIF
725897740439,18.661.787.5-621.615,OSS-4514309,CV NURAINI,NURAINI,Gg. Sukajadi No. 1,MEDAN,ID-47,59055,+62-042-461-7882,PT,DISAHKAN,AKTIF,1,0,API-P,69602-API,,2026-02-22,AKTIF
763760760694,20.222.588.5-238.416,OSS-4979847,PT LATUPONO PERSERO TBK DUPLICATE,LATUPONO (,Jalan Moch. Ramdan No. 103,MEULABOH,ID-90,49492,+62-611-677-4773,PT,DISAHKAN,AKTIF,1,1,API-U,13341-API,NIPER-17027,2026-02-02,AKTIF
786845618680,36.001.800.9-871.759,OSS-0308475,PD SURYATMI WASITA DUPLICATE,PD SURYATM,Jl. Merdeka No. 3,KENDARI,ID-48,73892,+62 (0764) 991-6041,PT,PROSES,TIDAK AKTIF,0,0,,,,2026-02-08,AKTIF
861307473702,40.533.154.6-953.641,OSS-2376352,PD SIRAIT SIREGAR,PD SIRAIT,Jl. Gegerkalong Hilir No. 486,SOLOK,ID-69,32758,+62 (51) 434 1633,PT,PROSES,DIBEKUKAN,1,1,API-U,50188-API,NIPER-36050,2026-02-06,AKTIF
280537642550,78.688.786.0-203.922,OSS-1317019,PERUM WACANA TBK DUPLICATE,PERUM WACA,Gg. Ahmad Yani No. 7,PEMATANGSIANTAR,ID-82,31424,+62 (629) 179-6441,CV,DISAHKAN,DIBEKUKAN,1,0,API-P,60332-API,,2026-01-12,AKTIF
533389309248,36.820.984.6-300.512,OSS-2224925,UD LATUPONO DUPLICATE,UD LATUPON,Jl. Sukabumi No. 062,DENPASAR,ID-71,45312,+62-96-726-2666,Perum,DISAHKAN,DIBEKUKAN,1,0,API-U,79707-API,,2026-01-17,AKTIF
419911908781,37.160.973.0-511.496,OSS-0783618,PERUM SINAGA TBK,PERUM SINA,Jalan Pacuan Kuda No. 0,MANADO,ID-45,14830,+62 (044) 566 7394,PT,PROSES,AKTIF,0,1,,,NIPER-19770,2026-01-14,AKTIF
776297467930,62.481.767.0-728.180,OSS-4642873,UD WIJAYANTI TBK,UD WIJAYAN,Gg. Monginsidi No. 7,BENGKULU,ID-46,13549,+62 (58) 674-5644,CV,TERDAFTAR,TIDAK AKTIF,1,1,API-P,31328-API,NIPER-15613,2026-02-15,AKTIF
241877946411,97.713.448.3-518.347,OSS-2090028,CV SIREGAR DAMANIK,SIREGAR DA,Gg. Pasteur No. 7,KOTAMOBAGU,ID-48,3722,+62 (407) 955-7175,CV,DISAHKAN,TIDAK AKTIF,0,0,,,,2026-03-01,AKTIF
437652453095,71.710.033.0-836.997,OSS-3108402,UD NATSIR PRATIWI,UD NATSIR,Jalan Pelajar Pejuang No. 63,PANGKALPINANG,ID-54,57210,+62 (078) 442-4943,Firma,PROSES,AKTIF,1,0,API-P,08229-API,,2026-02-01,AKTIF
12854997263,15.081.086.6-704.295,OSS-7903540,UD MARYADI YOLANDA PERSERO TBK,UD MARYADI,Gang Jayawijaya No. 7,SOLOK,ID-66,86484,+62 (021) 234 9605,Perum,DISAHKAN,TIDAK AKTIF,0,0,,,,2026-01-11,AKTIF
