NIB,NPWP,OSS_ID,NAMA_PERUSAHAAN,NAMA_SINGKATAN,ALAMAT,KELURAHAN,DAERAH_ID,KODE_POS,NOMOR_TELPON,JENIS_PERSEROAN,STATUS_BADAN_HUKUM,STATUS_PERSEROAN,FLAG_IMPOR,FLAG_EKSPOR,JENIS_API,NOMOR_API,NIPER,TGL_PERUBAHAN_NIB,STATUS_NIB
919001128401,723446779526890,OSS-8268154,CV NAMAGA NAJMUDIN (DUPLICATE),NAMAGA NAJ,JALAN PELAJAR PEJUANG NO. 1,PARIAMAN,ID-64,01591,(0707) 443 4782,Firma,DISAHKAN,AKTIF,0,0,,,,2026-01-13,AKTIF
685976646926,590282774694825,OSS-4576344,PERUM NARPATI GUNARTO (PERSERO) TBK (DUPLICATE),PERUM NARP,GG. KAPTEN MUSLIHAT NO. 83,CILEGON,ID-74,37242,+62-046-535-2170,CV,PROSES,DIBEKUKAN,1,0,API-P,57267-API,,2026-02-28,AKTIF
051727804292,351443438270760,OSS-4836230,CV RIYANTI FARIDA TBK,RIYANTI FA,JL. TUBAGUS ISMAIL NO. 0,KOTA ADMINISTRASI JAKARTA PUSAT,ID-61,91150,+62-355-478-1882,PT,TERDAFTAR,AKTIF,0,1,,,NIPER-56254,2026-01-03,AKTIF
107091093853,214077649778953,OSS-6025674,UD SIREGAR SAFITRI TBK,UD SIREGAR,GG. WONOAYU NO. 6,PALEMBANG,ID-10,41020,+62-874-593-0850,Perum,PROSES,TIDAK AKTIF,0,1,,,NIPER-34611,2026-03-01,AKTIF
231832265414,569174220556113,OSS-7913799,HARYANTI MANULLANG,HARYANTI M,JL. M.T HARYONO NO. 291,PASURUAN,ID-41,68634,+62 (17) 233 7347,CV,TERDAFTAR,TIDAK AKTIF,1,1,API-P,54553-API,NIPER-87078,2026-01-12,AKTIF
198704795046,319315049345065,OSS-0248284,PERUM WINARNO ANDRIANI,PERUM WINA,JL. M.H THAMRIN NO. 45,BANDAR LAMPUNG,ID-39,66531,(0073) 199 7993,Perum,TERDAFTAR,DIBEKUKAN,0,1,,,NIPER-50570,2026-01-09,AKTIF
901506183678,387458947193540,OSS-9217882,UD TAMBA PRABOWO TBK,UD TAMBA P,GANG KUTAI NO. 428,PROBOLINGGO,ID-50,26919,0810496468,CV,PROSES,TIDAK AKTIF,0,1,,,NIPER-82964,2026-03-01,AKTIF
480987955077,969361860984603,OSS-2684705,PD ZULAIKA TBK,PD ZULAIKA,GG. GARDUJATI NO. 4,MALANG,ID-44,52416,+62-0227-024-1137,Perum,DISAHKAN,AKTIF,0,0,,,,2026-02-25,AKTIF
901680115360,964394534973200,OSS-9601535,PT TAMBA PRASETYA,TAMBA PRAS,GANG JEND. SUDIRMAN NO. 88,LANGSA,ID-92,04648,+62 (551) 693 2405,Perum,TERDAFTAR,DIBEKUKAN,0,1,,,NIPER-74119,2026-02-02,AKTIF
463129247569,906289998448497,OSS-0952465,CV WIBOWO SIMBOLON (PERSERO) TBK,WIBOWO SIM,JL. SILIWANGI NO. 1,SIBOLGA,ID-32,08545,086 504 4121,Firma,DISAHKAN,AKTIF,1,1,API-P,37085-API,NIPER-14611,2026-02-15,AKTIF
