GR_ID,NIB,NPWP,NAMA,NAMA_SINGKATAN,JENIS_PERSEROAN,STATUS_BADAN_HUKUM,STATUS_PERSEROAN,ALAMAT,KELURAHAN,DAERAH_ID,KODE_POS,FLAG_IMPOR,FLAG_EKSPOR,JENIS_API,KODE_KANTOR,NOMOR_TELPON,KATEGORI,NIPER,NOMOR_API,ID_PERUSAHAAN,TGL_PERUBAHAN_NIB,TGL_TERBIT_NIB,TGL_SYNC_OSS,STATUS_NIB,SOURCE,MATCH_TYPE,SOURCE_COUNT,N_CONFLICTS,IS_OUT_OF_SYNC,IS_STALE,HIGH_SYNC_LAG,IS_LOGICAL_CONFLICT_NIPER,CREATED_AT
GR000001,0433218196001,27.238.517.9-027.574,PT SAEFULLAH,PT,CV,Belum Berbadan Hukum,Dibekukan,Jl. Dr. Djunjunan No. 8,SEMARANG,35,,N,N,,60100.0,6250026943.0,KEDUA-DUANYA,2372429420.0,9283210753.0,C003631,2023-01-14,2023-01-14,2026-05-12,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,True,2026-06-12 00:42:58
GR000002,6542351161559,33.826.044.7-549.127,PERUM NAPITUPULU,PERUM,UD,Belum Berbadan Hukum,Dibekukan,Gg. Kutai No. 02,MAKASSAR,21,23511.0,Y,Y,API-P,20100.0,622738185569.0,EKSPORTIR,9594969093.0,,C001413,2023-05-23,2023-05-23,2026-04-06,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,False,2026-06-12 00:42:58
GR000003,4131647525534,89.959.699.1-623.650,PT TAMBA SITUMORANG TBK,PT,Perum,Belum Berbadan Hukum,Tidak Aktif,Jalan Sukabumi No. 849,SAMARINDA,73,,Y,N,API-U,140100.0,62937328201.0,IMPORTIR,4803163678.0,7445818359.0,C001442,2024-10-26,2024-10-26,2026-04-21,DIBEKUKAN,MATCHED,EXACT_NIB,2,2,False,True,True,True,2026-06-12 00:42:58
GR000004,3056413953767,18.271.142.3-762.574,PT WIBOWO SETIAWAN,,UD,Belum Berbadan Hukum,Dibekukan,Jalan Soekarno Hatta No. 34,SIBOLGA,35,,N,N,,70500.0,62202109149.0,EKSPORTIR,765364481.0,,C002321,2025-01-11,2025-01-11,2026-05-13,AKTIF,MATCHED,EXACT_NIB,2,2,False,True,False,True,2026-06-12 00:42:58
GR000005,8710122691669,59.541.257.8-881.965,PERUM PRASETYA TBK,,Firma,Berbadan Hukum,Tidak Aktif,Jl. Raya Setiabudhi No. 41,SALATIGA,31,37672.0,Y,N,API-P,10100.0,62473403618.0,KEDUA-DUANYA,6090710845.0,6421219760.0,C000731,2023-11-20,2023-11-20,2026-05-17,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,False,True,2026-06-12 00:42:58
GR000006,4828148932528,99.944.543.0-613.331,CV PRAYOGA TBK,CV,Firma,Belum Berbadan Hukum,Aktif,Gang Merdeka No. 871,BINJAI,36,,Y,N,API-U,50400.0,626294636772.0,IMPORTIR,4803163678.0,7705892684.0,C003311,2024-05-08,2024-05-08,2026-05-13,DIBEKUKAN,MATCHED,EXACT_NIB,2,1,False,True,False,True,2026-06-12 00:42:58
GR000007,1718227824896,27.951.552.3-730.319,PERUM HASTUTI NURAINI TBK,PERUM,Perum,Belum Berbadan Hukum,Aktif,Gg. H.J Maemunah No. 14,CILEGON,21,,N,Y,,20100.0,625788385.0,IMPORTIR,,8175221222.0,C002375,2024-04-05,2024-04-05,2026-03-17,AKTIF,MATCHED,EXACT_NIB,2,0,False,True,True,False,2026-06-12 00:42:58
GR000008,3829973763116,45.433.420.7-884.746,PT PERMADI PURNAWATI,PT,Perum,Belum Berbadan Hukum,Aktif,Gg. Cikutra Timur No. 2,,31,82489.0,Y,Y,API-U,40300.0,62820169396.0,IMPORTIR,,3340851875.0,C004116,2024-01-28,2024-01-28,2026-04-28,AKTIF,MATCHED,EXACT_NIB,2,0,False,True,True,False,2026-06-12 00:42:58
GR000009,6247317810801,96.869.242.2-416.497,CV NAMAGA PANGESTU TBK,CV,PT,Berbadan Hukum,Tidak Aktif,Gang M.T Haryono No. 13,BATAM,36,,Y,Y,API-P,50400.0,62986191880.0,IMPORTIR,,8731726007.0,C002988,2025-03-10,2025-03-10,2026-04-19,AKTIF,MATCHED,EXACT_NIB,2,0,False,True,True,False,2026-06-12 00:42:58
GR000010,7468723430980,95.321.058.0-598.488,PT HIDAYANTO USAMAH,PT,UD,Berbadan Hukum,Aktif,Jl. Bkr No. 18,KOTA ADMINISTRASI JAKARTA UTARA,32,38299.0,Y,Y,API-U,50900.0,62430171106.0,IMPORTIR,,5106974234.0,C001323,2023-05-20,2023-05-20,2026-03-20,AKTIF,MATCHED,EXACT_NIB,2,0,False,True,True,False,2026-06-12 00:42:58
