NIB,NPWP_PERSEROAN,NAMA_PERSEROAN,NAMA_SINGKATAN,JENIS_PERSEROAN,STATUS_BADAN_HUKUM,STATUS_PERSEROAN,ALAMAT_PERSEROAN,KELURAHAN_PERSEROAN,PERSEROAN_DAERAH_ID,KODE_POS_PERSEROAN,FLAG_IMPOR,FLAG_EKSPOR,JENIS_API,TGL_PERUBAHAN_NIB,STATUS_NIB,IS_NPWP_INVALID,IS_INCOMPLETE,IS_DAERAH_VALID,IS_STALE,IS_CLEANED,CLEANSING_TIMESTAMP,SOURCE,ID_PERUSAHAAN,NPWP,NAMA_PERUSAHAAN,ALAMAT_PERUSAHAAN,KELURAHAN,DAERAH_ID,KODE_POS,NOMOR_TELPON,KATEGORI,NIPER,NOMOR_API,TGL_TERBIT_NIB,KODE_KANTOR,TGL_SYNC_OSS,HIGH_SYNC_LAG
0433218196001,27.238.517.9-027.574,PT SAEFULLAH,,CV,Belum Berbadan Hukum,Dibekukan,Jl. Dr. Djunjunan No. 8,SEMARANG,35.0,,N,N,,2023-01-14,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
6542351161559,33.826.044.7-549.127,PERUM NAPITUPULU,PERUM,UD,Belum Berbadan Hukum,Dibekukan,Gg. Kutai No. 02,MAKASSAR,21.0,,Y,Y,API-P,2023-05-23,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
4131647525534,89.959.699.1-623.650,PT TAMBA SITUMORANG TBK,PT,Perum,Belum Berbadan Hukum,Tidak Aktif,Jalan Sukabumi No. 849,SAMARINDA,73.0,,Y,Y,API-U,2024-10-26,DIBEKUKAN,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
3056413953767,18.271.142.3-762.574,PT WIBOWO SETIAWAN,PT,UD,Belum Berbadan Hukum,Dibekukan,Jalan Soekarno Hatta No. 34,SIBOLGA,35.0,,N,N,,2025-01-11,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
8710122691669,59.541.257.8-881.965,PERUM PRASETYA TBK,PERUM,Firma,Berbadan Hukum,Tidak Aktif,Jl. Raya Setiabudhi No. 41,,31.0,,Y,N,API-P,2023-11-20,DICABUT,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
4828148932528,99.944.543.0-613.331,CV PRAYOGA TBK,CV,Firma,Belum Berbadan Hukum,Aktif,Gang Merdeka No. 871,,36.0,26916.0,Y,Y,API-U,2024-05-08,DIBEKUKAN,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
1718227824896,27.951.552.3-730.319,PERUM HASTUTI NURAINI TBK,PERUM,Perum,Belum Berbadan Hukum,Aktif,Gg. H.J Maemunah No. 14,CILEGON,21.0,,N,Y,,2024-04-05,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
0000000000000,29.602.225.0-072.724,UD UYAINAH,UD,PT,Berbadan Hukum,Tidak Aktif,Gg. Jamika No. 8,SERANG,73.0,70154.0,Y,Y,API-U,2025-11-18,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
3829973763116,45.433.420.7-884.746,PT PERMADI PURNAWATI,,Perum,Belum Berbadan Hukum,Aktif,Gg. Cikutra Timur No. 2,SURABAYA,31.0,82489.0,Y,Y,API-U,2024-01-28,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
6247317810801,96.869.242.2-416.497,CV NAMAGA PANGESTU TBK,CV,PT,Berbadan Hukum,Tidak Aktif,Gang M.T Haryono No. 13,BATAM,36.0,,Y,Y,API-P,2025-03-10,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
