NIB,NPWP_PERSEROAN,NAMA_PERSEROAN,NAMA_SINGKATAN,JENIS_PERSEROAN,STATUS_BADAN_HUKUM,STATUS_PERSEROAN,ALAMAT_PERSEROAN,KELURAHAN_PERSEROAN,PERSEROAN_DAERAH_ID,KODE_POS_PERSEROAN,FLAG_IMPOR,FLAG_EKSPOR,JENIS_API,TGL_PERUBAHAN_NIB,STATUS_NIB,IS_NPWP_INVALID,IS_INCOMPLETE,IS_DAERAH_VALID,IS_STALE,IS_CLEANED,CLEANSING_TIMESTAMP
0433218196001,27.238.517.9-027.574,PT SAEFULLAH,,CV,Belum Berbadan Hukum,Dibekukan,Jl.. Dr. Djunjunan No.. 8,SEMARANG,35,01330,N,N,,2023-01-14,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
6542351161559,33.826.044.7-549.127,PERUM NAPITUPULU,PERUM,UD,Belum Berbadan Hukum,Dibekukan,Gg. Kutai No.. 02,MAKASSAR,21,,Y,Y,API-P,2023-05-23,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
4131647525534,89.959.699.1-623.650,PT TAMBA SITUMORANG TBK,PT,Perum,Belum Berbadan Hukum,Tidak Aktif,Jalan Sukabumi No.. 849,SAMARINDA,73,,Y,Y,API-U,2024-10-26,DIBEKUKAN,False,False,True,True,True,2026-06-11 14:21:15
3056413953767,18.271.142.3-762.574,PT WIBOWO SETIAWAN,PT,UD,Belum Berbadan Hukum,Dibekukan,Jalan Soekarno Hatta No.. 34,SIBOLGA,35,,N,N,,2025-01-11,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
8710122691669,59.541.257.8-881.965,PERUM PRASETYA TBK,PERUM,Firma,Berbadan Hukum,Tidak Aktif,Jl.. Raya Setiabudhi No.. 41,,31,,Y,N,API-P,2023-11-20,DICABUT,False,False,True,True,True,2026-06-11 14:21:15
4828148932528,99.944.543.0-613.331,CV PRAYOGA TBK,CV,Firma,Belum Berbadan Hukum,Aktif,Gang Merdeka No.. 871,,36,,Y,Y,API-U,2024-05-08,DIBEKUKAN,False,False,True,True,True,2026-06-11 14:21:15
1718227824896,27.951.552.3-730.319,PERUM HASTUTI NURAINI TBK,PERUM,Perum,Belum Berbadan Hukum,Aktif,Gg. H.J Maemunah No.. 14,CILEGON,21,,N,Y,,2024-04-05,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
0000000000000,29.602.225.0-072.724,UD UYAINAH,UD,PT,Berbadan Hukum,Tidak Aktif,Gg. Jamika No.. 8,SERANG,73,,Y,Y,API-U,2025-11-18,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
3829973763116,45.433.420.7-884.746,PT PERMADI PURNAWATI,,Perum,Belum Berbadan Hukum,Aktif,Gg. Cikutra Timur No.. 2,SURABAYA,31,,Y,Y,API-U,2024-01-28,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
6247317810801,96.869.242.2-416.497,CV NAMAGA PANGESTU TBK,CV,PT,Berbadan Hukum,Tidak Aktif,Gang M.T Haryono No.. 13,BATAM,36,,Y,Y,API-P,2025-03-10,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
7468723430980,95.321.058.0-598.488,PT HIDAYANTO USAMAH,PT,UD,Berbadan Hukum,Aktif,Jl.. Bkr No.. 18,KOTA ADMINISTRASI JAKARTA UTARA,32,,Y,Y,API-U,2023-05-20,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
1939909169985,33.209.685.5-244.271,CV KUSMAWATI WASITA (PERSERO) TBK,CV,Perum,Belum Berbadan Hukum,Aktif,Gg. Setiabudhi No.. 67,TANGERANG,21,65130,Y,Y,API-P,2025-07-27,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
1183842513542,56.853.556.4-626.826,CV NASYIAH HASSANAH,CV,PT,Berbadan Hukum,Tidak Aktif,Jalan Pelajar Pejuang No.. 31,PURWOKERTO,73,80130,Y,Y,API-P,2023-08-08,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
4935348740164,05.003.341.2-652.268,PD LAKSITA LAKSMIWATI,PD,UD,Belum Berbadan Hukum,Dibekukan,Jalan Jend. A. Yani No.. 06,PALU,73,,N,Y,,2023-08-18,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
2805982620450,45.215.698.3-682.105,CV HAKIM (PERSERO) TBK,CV,UD,Berbadan Hukum,Aktif,Jl.. Indragiri No.. 88,BANJARMASIN,21,,N,Y,,2023-12-29,DIBEKUKAN,False,False,True,True,True,2026-06-11 14:21:15
0000000000000,42.801.953.6-821.685,PT PURNAWATI PRAYOGA (PERSERO) TBK,PT,CV,Berbadan Hukum,Tidak Aktif,Gang Pasirkoja No.. 534,BLITAR,33,,Y,Y,API-P,2025-08-21,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
7543303654145,82.521.409.8-339.961,PT NASYIAH,PT,CV,Belum Berbadan Hukum,Aktif,Jalan Sentot Alibasa No.. 354,PALEMBANG,31,,Y,Y,API-P,2025-06-08,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
6981693406088,87.736.962.3-372.441,CV SAPTONO,CV,UD,Belum Berbadan Hukum,Dibekukan,Jl.. Pasteur No.. 93,GORONTALO,12,,N,Y,,2024-09-07,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
5648236629946,70.853.000.4-293.215,UD GUNAWAN ADRIANSYAH TBK,UD,Perum,Belum Berbadan Hukum,Tidak Aktif,Jalan Cempaka No.. 6,BINJAI,16,,N,Y,,2025-11-12,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
2148951343320,05.250.486.9-870.786,PD MAHENDRA GUNARTO,PD,Perum,Berbadan Hukum,Dibekukan,Jalan Setiabudhi No.. 315,,12,,N,N,,2025-10-09,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
0000000000000,00.914.768.1-797.435,UD ZULKARNAIN WINARSIH,,PT,Berbadan Hukum,Aktif,Jalan Dr. Djunjunan No.. 07,DUMAI,51,,Y,N,API-P,2023-10-01,DIBEKUKAN,False,False,True,True,True,2026-06-11 14:21:15
8957986872774,96.253.860.4-784.796,PD SITOMPUL SETIAWAN,PD,CV,Belum Berbadan Hukum,Tidak Aktif,Gang H.J Maemunah No.. 6,BANDAR LAMPUNG,32,,N,Y,,2024-08-08,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
8122362316658,59.425.063.3-852.430,PERUM FUJIATI,PERUM,Perum,Berbadan Hukum,Tidak Aktif,Gang Rungkut Industri No.. 1,SAMARINDA,21,,Y,N,API-P,2025-03-09,DIBEKUKAN,False,False,True,True,True,2026-06-11 14:21:15
6889373467065,85.695.817.6-741.169,UD ASTUTI HIDAYAT,UD,Perum,Berbadan Hukum,Aktif,Jalan Rajawali Barat No.. 4,MADIUN,18,,Y,N,API-U,2023-10-05,DIBEKUKAN,False,False,True,True,True,2026-06-11 14:21:15
4653755646417,02.767.552.0-974.358,CV SUSANTI PURNAWATI TBK,CV,PT,Berbadan Hukum,Aktif,Gg. Peta No.. 699,PANGKALPINANG,51,,Y,Y,API-U,2023-11-09,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
1937452991241,74.026.951.4-589.693,UD MULYANI,UD,CV,Berbadan Hukum,Dibekukan,Jl.. Tebet Barat Dalam No.. 33,BANDAR LAMPUNG,21,,N,Y,,2023-07-28,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
9190586518506,62.108.443.5-650.912,PERUM NABABAN WINARNO TBK,PERUM,CV,Belum Berbadan Hukum,Dibekukan,Jl.. Suryakencana No.. 0,PAGARALAM,18,,Y,N,API-P,2025-08-10,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
4531473799650,63.871.332.2-499.217,PT HASANAH MANSUR,PT,Firma,Belum Berbadan Hukum,Dibekukan,Gang Kendalsari No.. 8,PURWOKERTO,21,,N,N,,2023-01-21,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
3678377701436,88.249.313.9-377.484,PERUM LAKSITA (PERSERO) TBK,PERUM,Perum,Belum Berbadan Hukum,Tidak Aktif,Jalan Peta No.. 455,BOGOR,35,,N,N,,2024-07-08,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
