ID_PERUSAHAAN,NIB,NPWP,NAMA_PERUSAHAAN,ALAMAT_PERUSAHAAN,KELURAHAN,DAERAH_ID,KODE_POS,NOMOR_TELPON,KATEGORI,NIPER,NOMOR_API,TGL_TERBIT_NIB,STATUS_NIB,KODE_KANTOR,TGL_SYNC_OSS
C000000,0823696269022,905435360,PT PRASTUTI,JALAN PASIRKOJA NO. 6,LHOKSEUMAWE,12,61437,(0422) 654 8851,KEDUA-DUANYA,5342445512,0219951279,2025-06-03,AKTIF,011200,2026-06-02
C000001,9365187569269,933924578590385,PD MANSUR,JL. VETERAN NO. 33,KOTA ADMINISTRASI JAKARTA PUSAT,33,,+62-010-211-3340,IMPORTIR,,2375058541,2023-10-16,AKTIF,060300,2026-06-04
C000002,9093052734791,64.586.028.2-132.298,PT SIMANJUNTAK (PERSERO) TBK,JALAN GARDUJATI NO. 00,YOGYAKARTA,33,32991,(0814) 266 3275,KEDUA-DUANYA,7486191613,1431354276,2025-07-28,DIBEKUKAN,060300,2026-03-25
C000003,4409079772781,04.378.029.9-915.730,PERUM SURYATMI ASTUTI (PERSERO) TBK,GG. W.R. SUPRATMAN NO. 498,PURWOKERTO,33,46747,+62-487-553-5597,IMPORTIR,,4507141493,2025-06-27,AKTIF,050100,2026-05-08
C000004,650472553107,369214985,UD AGUSTINA (PERSERO) TBK,JL. MOCH. RAMDAN NO. 46,BONTANG,31,94071,0879963238,EKSPORTIR,4803163678,,2024-09-19,AKTIF,010100,2026-03-27
C000005,6618308580018,61.988.249.1-319.211,PT HANDAYANI TBK,JL. RAYA UJUNGBERUNG NO. 2,SORONG,51,48698,(064) 297-4224,EKSPORTIR,1548414548,,2025-06-06,AKTIF,080100,2026-04-07
C000006,0276309015730,37.367.151.3-929.084,PD PERMADI PRAYOGA TBK,JALAN MEDOKAN AYU NO. 32,BANJARBARU,51,17195,+62 (0175) 396-7753,EKSPORTIR,1884745176,,2024-10-04,DIBEKUKAN,080100,2026-03-13
C000007,307562208635,31.426.937.5-277.845,PERUM RAHAYU (CABANG),GANG CIKAPAYANG NO. 68,TANJUNGPINANG,12,,(021) 027-3581,IMPORTIR,,2587266556,2025-11-22,DICABUT,020300,2026-03-19
C000008,5621343357120,7823658O443OI76,PD ANGGRAINI,GG. JEND. A. YANI NO. 69,PARIAMAN,12,21822,+62-079-024-7567,KEDUA-DUANYA,9848570870,9480424929,2025-12-22,AKTIF,020300,2026-04-29
C000009,6705068098383,32 225 198,PD NASYIDAH,GANG LEMBONG NO. 5,KENDARI,12,85558,+62-77-021-4745,EKSPORTIR,7579270308,,2023-04-16,AKTIF,011200,2026-03-20
C000010,1733871918387,70.248.192.2-446.522,PERUM GUNAWAN NOVITASARI (PERSERO) TBK,GANG MONGINSIDI NO. 249,,36,42749,+62 (014) 823 4799,EKSPORTIR,4490976085,,2023-04-29,AKTIF,050400,2026-04-02
C000011,7793864047042,05.676.556.6-820.413,UD HUTASOIT (PERSERO) TBK,GG. SILIWANGI NO. 1,TOMOHON,33,91566,+62-0184-575-4317,KEDUA-DUANYA,0926366334,9520038178,2024-07-03,AKTIF,060300,2026-05-03
C000012,522904015076,21.607.735.4-174.023,PT SAPUTRA (PERSERO) TBK,GANG MONGINSIDI NO. 4,PANGKALPINANG,35,86127,+62-067-836-7606,EKSPORTIR,6883935452,,2024-09-07,AKTIF,070100,2026-06-03
C000013,0134808735437,677II646O3I4678,PT PADMASARI WINARNO,GG. SENTOT ALIBASA NO. 4,MAKASSAR,31,18343,(087) 992-8630,EKSPORTIR,3565475978,,2025-01-28,AKTIF,040300,2026-04-05
C000014,6147332206339,78.382.675.3-287.107,PERUM HIDAYAT,JL. AHMAD YANI NO. 770,,31,,0825390054,EKSPORTIR,4884369738,,2023-04-25,AKTIF,010100,2026-04-02
C000015,9680071194750,O83682657367597,PD ANDRIANI LESTARI,JALAN LASWI NO. 3,TANJUNGPINANG,33,33732,+62-0167-040-4922,KEDUA-DUANYA,2687768925,0590158278,2024-07-31,AKTIF,050100,2026-04-07
C000016,5320928353424,881356020509308,UD HASANAH ADRIANSYAH TBK,JALAN GARDUJATI NO. 7,KUPANG,12,96343,+62 (40) 666-0640,IMPORTIR,,5499264522,2023-09-08,DICABUT,011200,2026-03-17
C000017,5832207774821,86.137.383.7-759.035,PERUM HASSANAH ZULKARNAIN TBK,GG. STASIUN WONOKROMO NO. 816,KOTA ADMINISTRASI JAKARTA SELATAN,73,,(046) 278 8663,IMPORTIR,4803163678,5604251061,2025-07-17,AKTIF,140100,2026-05-22
C000018,9779109922089,50.586.373.8-813.744,PT PRASASTA,JL. SOEKARNO HATTA NO. 8,PONTIANAK,73,03517,080 033 1375,KEDUA-DUANYA,4292577341,0412508560,2023-08-03,AKTIF,140100,2026-05-11
C000019,8718341000665,69.299.527.4-983.990,CV HALIMAH (PERSERO) TBK,JALAN PACUAN KUDA NO. 087,SABANG,51,47106,087 807 7677,IMPORTIR,,3838475943,2024-04-06,AKTIF,090100,2026-03-14
