no_dok_ekspor,tgl_dok_ekspor,nama_perusahaan,npwp_perusahaan,alamat_perusahaan,nama_barang,hs_code_2d,kode_pelabuhan_ekspor,nama_pelabuhan_ekspor,berat_barang_ton,negara_tujuan,kode_negara_tujuan,nama_kapal,flag_anomali_tonase,flag_anomali_kapal,flag_anomali_kombinasi,selisih_hari_kapal,pt_hs_count,pel_hs_count,hs_neg_count
00949495,2026-01-02 12:00:00,PT Sirait Damanik,983930103105183,"Gg. Jend. Sudirman No. 61, Tangerang Selatan, PB 70132",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,10805.67,Singapura,SG,MV BAKIANTO 65,0,1,0,0.75,20,68,69
00901580,2026-01-06 17:00:00,PT Sirait Damanik,983930103105183,"Gang Ciumbuleuit No. 225, Meulaboh, ST 11964",Mesin & Peralatan Elektrik,85,IDBEL,Belawan,1310.78,India,IN,MV BAKIANTO 65,0,1,0,0.625,13,54,57
00162920,2026-01-07 23:00:00,UD Putra Tbk,346247510799118,"Jl. Sukajadi No. 5, Probolinggo, Kalimantan Selatan 61537",Sereal/Beras,10,IDTPE,Tanjung Perak,11662.95,Singapura,SG,MV BAKIANTO 65,0,1,0,1.25,18,66,49
00878174,2026-01-12 04:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Gg. Kapten Muslihat No. 1, Pekanbaru, PB 78725",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPP,Tanjung Priok,35195.21,Singapura,SG,MV BAKIANTO 65,0,1,0,0.9166666666666666,18,57,66
00674535,2026-01-12 08:00:00,PD Pudjiastuti Marbun,489638346578713,"Gg. Siliwangi No. 3, Singkawang, Lampung 38347",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPE,Tanjung Perak,37478.14,China,CN,MV BAKIANTO 65,0,1,0,0.16666666666666666,15,65,61
00876234,2026-01-16 10:00:00,PT Waskita,513338726247317,"Gg. Moch. Ramdan No. 281, Tual, BB 53110",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,5638.95,China,CN,MV BAKIANTO 65,0,1,0,0.625,14,80,75
00161397,2026-01-19 05:00:00,PD Suwarno Tbk,872343098050097,"Jl. Waringin No. 011, Palu, KR 09712",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPP,Tanjung Priok,36611.3,India,IN,MV BAKIANTO 65,0,1,0,0.041666666666666664,21,75,85
00527952,2026-01-19 21:00:00,PT Melani Hutapea,219136193990916,"Jalan Dipenogoro No. 865, Cilegon, Papua Barat 12796",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,22276.96,India,IN,MV BAKIANTO 65,0,1,0,0.6666666666666666,9,80,85
00105924,2026-01-21 05:00:00,PT Waskita,513338726247317,"Gang Antapani Lama No. 43, Kupang, BA 61572",Sereal/Beras,10,IDBEL,Belawan,23055.94,Singapura,SG,MV BAKIANTO 65,0,1,0,1.3333333333333333,19,58,49
00258911,2026-01-21 18:00:00,UD Putra Tbk,346247510799118,"Gang Cikutra Timur No. 09, Metro, SS 89030",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,15870.16,Singapura,SG,MV BAKIANTO 65,0,1,0,0.5416666666666666,20,80,69
00615889,2026-01-23 08:00:00,PD Prabowo (Persero) Tbk,997376311656670,"Jalan Joyoboyo No. 08, Sorong, Sulawesi Utara 63369",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPE,Tanjung Perak,3550.05,China,CN,MV BAKIANTO 65,0,1,0,1.5833333333333333,15,65,61
00517888,2026-01-29 00:00:00,PD Prabowo (Persero) Tbk,997376311656670,"Jl. Sukabumi No. 1, Cirebon, SS 23179",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,16653.89,China,CN,MV BAKIANTO 65,0,1,0,1.375,12,80,75
00377261,2026-01-29 09:00:00,PT Yulianti,801326773602606,"Jalan KH Amin Jasuta No. 9, Singkawang, Bengkulu 80778",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,30611.17,Singapura,SG,MV BAKIANTO 65,0,1,0,0.375,20,66,66
00161254,2026-01-29 11:00:00,PD Suwarno Tbk,872343098050097,"Jalan Waringin No. 7, Banda Aceh, DKI Jakarta 36349",Sereal/Beras,10,IDTPP,Tanjung Priok,13585.92,India,IN,MV BAKIANTO 65,0,1,0,0.08333333333333333,14,53,64
00610767,2026-01-30 01:00:00,PT Waskita,513338726247317,"Jalan Medokan Ayu No. 61, Malang, Nusa Tenggara Timur 50333",Mesin & Peralatan Elektrik,85,IDTPE,Tanjung Perak,9016.93,China,CN,MV BAKIANTO 65,0,1,0,0.5833333333333334,13,66,70
00743674,2026-02-01 14:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Jalan Dipenogoro No. 780, Yogyakarta, Riau 14921",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,36010.81,Singapura,SG,MV BAKIANTO 65,0,1,0,0.16666666666666666,18,68,69
