no_dok_ekspor,tgl_dok_ekspor,nama_perusahaan,npwp_perusahaan,alamat_perusahaan,nama_barang,hs_code_2d,kode_pelabuhan_ekspor,nama_pelabuhan_ekspor,berat_barang_ton,negara_tujuan,kode_negara_tujuan,nama_kapal,flag_anomali_tonase,flag_anomali_kapal,flag_anomali_kombinasi,selisih_hari_kapal,pt_hs_count,pel_hs_count,hs_neg_count
00696512,2026-01-01 18:00:00,Perum Saptono Mustofa,513542784980841,"Gg. Jend. Sudirman No. 9, Kotamobagu, KS 65266",Mesin & Peralatan Elektrik,85,IDBEL,Belawan,41082.85,Singapura,SG,MV BAKIANTO 65,0,0,0,,16,54,63
00949495,2026-01-02 12:00:00,PT Sirait Damanik,983930103105183,"Gg. Jend. Sudirman No. 61, Tangerang Selatan, PB 70132",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,10805.67,Singapura,SG,MV BAKIANTO 65,0,1,0,0.75,20,68,69
00352540,2026-01-06 02:00:00,Perum Sinaga,701543039117182,"Jl. S. Parman No. 95, Purwokerto, Kalimantan Timur 44058",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,6249.4,Singapura,SG,MV BAKIANTO 65,0,0,0,3.5833333333333335,18,80,69
00901580,2026-01-06 17:00:00,PT Sirait Damanik,983930103105183,"Gang Ciumbuleuit No. 225, Meulaboh, ST 11964",Mesin & Peralatan Elektrik,85,IDBEL,Belawan,1310.78,India,IN,MV BAKIANTO 65,0,1,0,0.625,13,54,57
00162920,2026-01-07 23:00:00,UD Putra Tbk,346247510799118,"Jl. Sukajadi No. 5, Probolinggo, Kalimantan Selatan 61537",Sereal/Beras,10,IDTPE,Tanjung Perak,11662.95,Singapura,SG,MV BAKIANTO 65,0,1,0,1.25,18,66,49
00996831,2026-01-11 06:00:00,UD Putra Tbk,346247510799118,"Gang Veteran No. 7, Cimahi, JK 34043",Mesin & Peralatan Elektrik,85,IDKBU,Kotabaru,1479.69,Singapura,SG,MV BAKIANTO 65,0,0,0,3.2916666666666665,14,66,63
00878174,2026-01-12 04:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Gg. Kapten Muslihat No. 1, Pekanbaru, PB 78725",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPP,Tanjung Priok,35195.21,Singapura,SG,MV BAKIANTO 65,0,1,0,0.9166666666666666,18,57,66
00674535,2026-01-12 08:00:00,PD Pudjiastuti Marbun,489638346578713,"Gg. Siliwangi No. 3, Singkawang, Lampung 38347",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPE,Tanjung Perak,37478.14,China,CN,MV BAKIANTO 65,0,1,0,0.16666666666666666,15,65,61
00980837,2026-01-15 19:00:00,PT Yulianti,801326773602606,"Jalan Rajawali Barat No. 41, Balikpapan, SG 34910",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPP,Tanjung Priok,29594.72,Singapura,SG,MV BAKIANTO 65,0,0,0,3.4583333333333335,20,57,66
00876234,2026-01-16 10:00:00,PT Waskita,513338726247317,"Gg. Moch. Ramdan No. 281, Tual, BB 53110",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,5638.95,China,CN,MV BAKIANTO 65,0,1,0,0.625,14,80,75
00953031,2026-01-19 04:00:00,CV Zulaika Anggraini,916697848018451,"Jl. Otto Iskandardinata No. 01, Tidore Kepulauan, Kepulauan Riau 52893",Mesin & Peralatan Elektrik,85,IDBEL,Belawan,33980.14,Singapura,SG,MV BAKIANTO 65,0,0,0,2.75,20,54,63
00161397,2026-01-19 05:00:00,PD Suwarno Tbk,872343098050097,"Jl. Waringin No. 011, Palu, KR 09712",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPP,Tanjung Priok,36611.3,India,IN,MV BAKIANTO 65,0,1,0,0.041666666666666664,21,75,85
00527952,2026-01-19 21:00:00,PT Melani Hutapea,219136193990916,"Jalan Dipenogoro No. 865, Cilegon, Papua Barat 12796",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,22276.96,India,IN,MV BAKIANTO 65,0,1,0,0.6666666666666666,9,80,85
00105924,2026-01-21 05:00:00,PT Waskita,513338726247317,"Gang Antapani Lama No. 43, Kupang, BA 61572",Sereal/Beras,10,IDBEL,Belawan,23055.94,Singapura,SG,MV BAKIANTO 65,0,1,0,1.3333333333333333,19,58,49
00258911,2026-01-21 18:00:00,UD Putra Tbk,346247510799118,"Gang Cikutra Timur No. 09, Metro, SS 89030",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,15870.16,Singapura,SG,MV BAKIANTO 65,0,1,0,0.5416666666666666,20,80,69
00615889,2026-01-23 08:00:00,PD Prabowo (Persero) Tbk,997376311656670,"Jalan Joyoboyo No. 08, Sorong, Sulawesi Utara 63369",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPE,Tanjung Perak,3550.05,China,CN,MV BAKIANTO 65,0,1,0,1.5833333333333333,15,65,61
00310077,2026-01-27 15:00:00,PD Pudjiastuti Marbun,489638346578713,"Gang Asia Afrika No. 3, Surabaya, BB 50566",Mesin & Peralatan Elektrik,85,IDBEL,Belawan,31608.39,Jepang,JP,MV BAKIANTO 65,0,0,0,4.291666666666667,22,54,48
00517888,2026-01-29 00:00:00,PD Prabowo (Persero) Tbk,997376311656670,"Jl. Sukabumi No. 1, Cirebon, SS 23179",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,16653.89,China,CN,MV BAKIANTO 65,0,1,0,1.375,12,80,75
00377261,2026-01-29 09:00:00,PT Yulianti,801326773602606,"Jalan KH Amin Jasuta No. 9, Singkawang, Bengkulu 80778",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,30611.17,Singapura,SG,MV BAKIANTO 65,0,1,0,0.375,20,66,66
00161254,2026-01-29 11:00:00,PD Suwarno Tbk,872343098050097,"Jalan Waringin No. 7, Banda Aceh, DKI Jakarta 36349",Sereal/Beras,10,IDTPP,Tanjung Priok,13585.92,India,IN,MV BAKIANTO 65,0,1,0,0.08333333333333333,14,53,64
00610767,2026-01-30 01:00:00,PT Waskita,513338726247317,"Jalan Medokan Ayu No. 61, Malang, Nusa Tenggara Timur 50333",Mesin & Peralatan Elektrik,85,IDTPE,Tanjung Perak,9016.93,China,CN,MV BAKIANTO 65,0,1,0,0.5833333333333334,13,66,70
00674110,2026-02-01 10:00:00,Perum Saptono Mustofa,513542784980841,"Jl. Kapten Muslihat No. 5, Kotamobagu, Sulawesi Utara 91624",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,18913.46,Singapura,SG,MV BAKIANTO 65,0,0,0,2.375,24,80,69
00743674,2026-02-01 14:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Jalan Dipenogoro No. 780, Yogyakarta, Riau 14921",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,36010.81,Singapura,SG,MV BAKIANTO 65,0,1,0,0.16666666666666666,18,68,69
00634461,2026-02-02 16:00:00,UD Mandala Prayoga,884969653287101,"Gang Setiabudhi No. 91, Binjai, SG 26016",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,36891.33,Jepang,JP,MV BAKIANTO 65,0,1,0,1.0833333333333333,18,46,56
00733699,2026-02-06 21:00:00,PD Manullang Tbk,048281489325288,"Jl. Raya Ujungberung No. 826, Mojokerto, SU 18981",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPE,Tanjung Perak,27864.79,Singapura,SG,MV BAKIANTO 65,0,0,0,4.208333333333333,24,65,66
