NIB,field,oss_value,ceisa_value,winner
6542351161559,NPWP_VALUE,33.826.044.7-549.127,17125001,OSS
3056413953767,NAMA,PT WIBOWO SETIAWAN,WIBOWO SETIAWAN (CABANG),OSS
3056413953767,FLAG_EKSPOR_vs_NIPER,N,6780289072.0,OSS (FLAG_EKSPOR)
8710122691669,STATUS_NIB,DICABUT,AKTIF,OSS
4935348740164,NPWP_VALUE,05.003.341.2-652.268,41.660.807.1-812.072,OSS
7543303654145,NPWP_VALUE,82.521.409.8-339.961,54.907.238.9-803.509,OSS
6981693406088,NAMA,CV SAPTONO,CV SAPTONO (CABANG),OSS
2148951343320,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
8957986872774,NAMA,PD SITOMPUL SETIAWAN,PD SITOMPUL SETIAWAN (CABANG),OSS
8122362316658,NAMA,PERUM FUJIATI,PERUM FUJIATI (CABANG),OSS
8122362316658,FLAG_EKSPOR_vs_NIPER,N,6951350474.0,OSS (FLAG_EKSPOR)
6889373467065,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
9190586518506,NPWP_VALUE,62.108.443.5-650.912,7444234654,OSS
4531473799650,NAMA,PT HASANAH MANSUR,HASANAH MANSUR (CABANG),OSS
3678377701436,NAMA,PERUM LAKSITA (PERSERO) TBK,PERUM LAKSITA (PERSERO) TBK (CABANG),OSS
3518233749894,NPWP_VALUE,12.852.198.4-232.369,196715529,OSS
2710947775204,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
9740344713493,FLAG_EKSPOR_vs_NIPER,N,122337366.0,OSS (FLAG_EKSPOR)
6488771906594,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
2967175655125,NPWP_VALUE,52.710.507.4-678.967,75656396437,OSS
2967175655125,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
1317127484677,NPWP_VALUE,31.467.564.2-392.195,30.348.191.8-332.762,OSS
1317127484677,FLAG_EKSPOR_vs_NIPER,N,8742443558.0,OSS (FLAG_EKSPOR)
2702895171870,STATUS_NIB,DICABUT,AKTIF,OSS
9464743671369,NPWP_VALUE,45.588.302.4-022.849,285007532,OSS
