dataset,rule_id,dimension,field,description,severity,total,n_pass,n_fail,pass_rate
OSS,COMP-NIB,Completeness,NIB,NIB tidak boleh kosong,HIGH,5500,5500,0,100.0
OSS,COMP-NPWP,Completeness,NPWP_PERSEROAN,NPWP tidak boleh kosong,HIGH,5500,5500,0,100.0
OSS,COMP-NAMA,Completeness,NAMA_PERSEROAN,NAMA tidak boleh kosong,HIGH,5500,5500,0,100.0
OSS,COMP-STATUS_NIB,Completeness,STATUS_NIB,STATUS_NIB tidak boleh kosong,HIGH,5500,5500,0,100.0
OSS,VAL-NIB-FORMAT,Validity,NIB,NIB harus 13 digit numerik,HIGH,5500,5500,0,100.0
OSS,VAL-NIB-DUMMY,Validity,NIB,"NIB tidak boleh dummy ""0000000000000""",MEDIUM,5500,5229,271,95.07272727272728
OSS,VAL-NPWP-FORMAT,Validity,NPWP_PERSEROAN,NPWP harus format XX.XXX.XXX.X-XXX.XXX,HIGH,5500,5500,0,100.0
OSS,VAL-KODE_POS-FORMAT,Validity,KODE_POS_PERSEROAN,KODE_POS (jika terisi) harus 5 digit,LOW,5500,5500,0,100.0
OSS,VAL-STATUS_NIB-ENUM,Validity,STATUS_NIB,"STATUS_NIB harus salah satu dari ['AKTIF', 'DIBEKUKAN', 'DICABUT']",HIGH,5500,5500,0,100.0
OSS,VAL-JENIS_PERSEROAN-ENUM,Validity,JENIS_PERSEROAN,"JENIS_PERSEROAN harus salah satu dari ['PT', 'CV', 'Firma', 'Perum', 'UD']",MEDIUM,5500,5500,0,100.0
OSS,UNIQ-NIB,Uniqueness,NIB,NIB unik (di luar NIB dummy),HIGH,5500,4546,954,82.65454545454546
OSS,CONS-FLAG_IMPOR-JENIS_API,Consistency,FLAG_IMPOR/JENIS_API,FLAG_IMPOR konsisten dengan pengisian JENIS_API,MEDIUM,5500,5500,0,100.0
OSS,TIME-IS_STALE,Timeliness,IS_STALE,TGL_PERUBAHAN_NIB tidak boleh > 1 tahun (IS_STALE),MEDIUM,5500,986,4514,17.92727272727273
CEISA,COMP-NIB,Completeness,NIB,NIB tidak boleh kosong,HIGH,4555,4555,0,100.0
CEISA,COMP-NPWP,Completeness,NPWP,NPWP tidak boleh kosong,HIGH,4555,4555,0,100.0
CEISA,COMP-NAMA,Completeness,NAMA_PERUSAHAAN,NAMA tidak boleh kosong,HIGH,4555,4555,0,100.0
CEISA,COMP-STATUS_NIB,Completeness,STATUS_NIB,STATUS_NIB tidak boleh kosong,HIGH,4555,4555,0,100.0
CEISA,VAL-NIB-FORMAT,Validity,NIB,NIB harus 13 digit numerik,HIGH,4555,4555,0,100.0
CEISA,VAL-NIB-DUMMY,Validity,NIB,"NIB tidak boleh dummy ""0000000000000""",MEDIUM,4555,4313,242,94.68715697036224
CEISA,VAL-NPWP-FORMAT,Validity,NPWP,NPWP harus format XX.XXX.XXX.X-XXX.XXX (anomali Inconsistent NPWP),HIGH,4555,3707,848,81.38309549945116
CEISA,VAL-KODE_POS-FORMAT,Validity,KODE_POS,KODE_POS (jika terisi) harus 5 digit,LOW,4555,4555,0,100.0
CEISA,VAL-STATUS_NIB-ENUM,Validity,STATUS_NIB,"STATUS_NIB harus salah satu dari ['AKTIF', 'DIBEKUKAN', 'DICABUT']",HIGH,4555,4555,0,100.0
CEISA,VAL-KATEGORI-ENUM,Validity,KATEGORI,"KATEGORI harus salah satu dari ['IMPORTIR', 'EKSPORTIR', 'KEDUA-DUANYA']",MEDIUM,4555,4555,0,100.0
CEISA,UNIQ-NIB,Uniqueness,NIB,NIB unik (1 baris per NIB - data mart sudah di-dedup Tahap 2),HIGH,4555,4555,0,100.0
CEISA,CONS-KATEGORI-NIPER,Consistency,KATEGORI/NIPER,KATEGORI konsisten dengan pengisian NIPER (anomali Logical Conflict),MEDIUM,4555,4342,213,95.3238199780461
CEISA,TIME-HIGH_SYNC_LAG,Timeliness,HIGH_SYNC_LAG,TGL_SYNC_OSS tidak boleh > 30 hari (HIGH_SYNC_LAG),MEDIUM,4555,1596,2959,35.038419319429195
GOLDEN,COMP-NIB,Completeness,NIB,NIB tidak boleh kosong,HIGH,5257,5257,0,100.0
GOLDEN,COMP-NPWP,Completeness,NPWP,NPWP tidak boleh kosong,HIGH,5257,5257,0,100.0
GOLDEN,COMP-NAMA,Completeness,NAMA,NAMA tidak boleh kosong,HIGH,5257,5257,0,100.0
GOLDEN,COMP-STATUS_NIB,Completeness,STATUS_NIB,STATUS_NIB tidak boleh kosong,HIGH,5257,5257,0,100.0
GOLDEN,VAL-NIB-FORMAT,Validity,NIB,NIB harus 13 digit numerik,HIGH,5257,5257,0,100.0
GOLDEN,VAL-NIB-DUMMY,Validity,NIB,"NIB tidak boleh dummy ""0000000000000""",MEDIUM,5257,4752,505,90.39376070001902
GOLDEN,VAL-NPWP-FORMAT,Validity,NPWP,NPWP harus format XX.XXX.XXX.X-XXX.XXX,HIGH,5257,5213,44,99.16302073425909
GOLDEN,VAL-KODE_POS-FORMAT,Validity,KODE_POS,KODE_POS (jika terisi) harus 5 digit,LOW,5257,5257,0,100.0
GOLDEN,VAL-STATUS_NIB-ENUM,Validity,STATUS_NIB,"STATUS_NIB harus salah satu dari ['AKTIF', 'DIBEKUKAN', 'DICABUT']",HIGH,5257,5257,0,100.0
GOLDEN,VAL-JENIS_PERSEROAN-ENUM,Validity,JENIS_PERSEROAN,"JENIS_PERSEROAN harus salah satu dari ['PT', 'CV', 'Firma', 'Perum', 'UD']",MEDIUM,5257,5257,0,100.0
GOLDEN,VAL-KATEGORI-ENUM,Validity,KATEGORI,"KATEGORI harus salah satu dari ['IMPORTIR', 'EKSPORTIR', 'KEDUA-DUANYA']",MEDIUM,5257,5257,0,100.0
GOLDEN,UNIQ-NIB,Uniqueness,NIB,NIB unik (di luar NIB dummy - lihat tahap4 langkah 8),HIGH,5257,5257,0,100.0
GOLDEN,CONS-FLAG_IMPOR-JENIS_API,Consistency,FLAG_IMPOR/JENIS_API,FLAG_IMPOR konsisten dengan pengisian JENIS_API,MEDIUM,5257,5257,0,100.0
GOLDEN,CONS-KATEGORI-NIPER,Consistency,KATEGORI/NIPER,KATEGORI konsisten dengan pengisian NIPER (anomali Logical Conflict),MEDIUM,5257,5044,213,95.94825946357238
GOLDEN,CONS-STATUS_NIB-SYNC,Consistency,IS_OUT_OF_SYNC,STATUS_NIB OSS & CEISA harus sinkron (anomali Sync Conflict),HIGH,5257,5079,178,96.6140384249572
GOLDEN,CONS-FLAG_EKSPOR-NIPER,Consistency,IS_LOGICAL_CONFLICT_NIPER,FLAG_EKSPOR konsisten dengan NIPER (anomali Logical Conflict),HIGH,5257,3391,1866,64.5044702301693
GOLDEN,TIME-IS_STALE,Timeliness,IS_STALE,TGL_PERUBAHAN_NIB tidak boleh > 1 tahun (IS_STALE),MEDIUM,5257,1147,4110,21.818527677382537
GOLDEN,TIME-HIGH_SYNC_LAG,Timeliness,HIGH_SYNC_LAG,TGL_SYNC_OSS tidak boleh > 30 hari (HIGH_SYNC_LAG),MEDIUM,5257,2296,2961,43.67509986684421
