cluster_id,source,record_id,NIB,nama
OSS_1,OSS,5369,3056413953767,PT WIBOWO SETIAWAN
OSS_1,OSS,3,3056413953767,PT WIBOWO SETIAWAN
OSS_2,OSS,5282,4828148932528,CV PRAYOGA TBK
OSS_2,OSS,5,4828148932528,CV PRAYOGA TBK
OSS_3,OSS,28,3678377701436,PERUM LAKSITA (PERSERO) TBK
OSS_3,OSS,5334,3678377701436,PERUM LAKSITA (PERSERO) TBK
OSS_4,OSS,5329,9938677496499,CV HARIYAH NAJMUDIN (PERSERO) TBK
OSS_4,OSS,31,9938677496499,CV HARIYAH NAJMUDIN (PERSERO) TBK
OSS_5,OSS,41,9464743671369,PT PRAYOGA (PERSERO) TBK
OSS_5,OSS,5324,9464743671369,PT PRAYOGA (PERSERO) TBK
OSS_6,OSS,43,2474517123685,UD UTAMI RAHMAWATI
OSS_6,OSS,5499,2474517123685,UD UTAMI RAHMAWATI
OSS_7,OSS,5255,0268117758917,PERUM HARIYAH
OSS_7,OSS,47,0268117758917,PERUM HARIYAH
OSS_8,OSS,65,7980893246095,PD YUNIAR (PERSERO) TBK
OSS_8,OSS,5403,7980893246095,PD YUNIAR (PERSERO) TBK
OSS_9,OSS,72,7829114678669,PD KUSUMO TBK
OSS_9,OSS,5149,7829114678669,PD KUSUMO TBK
OSS_10,OSS,5331,9632595327877,CV SUARTINI MANGUNSONG
OSS_10,OSS,76,9632595327877,CV SUARTINI MANGUNSONG
OSS_11,OSS,5451,8879470551694,PERUM NURDIYANTI SURYATMI (PERSERO) TBK
OSS_11,OSS,79,8879470551694,PERUM NURDIYANTI SURYATMI (PERSERO) TBK
OSS_12,OSS,94,4678544587717,PERUM UTAMA WIDODO
OSS_12,OSS,5295,4678544587717,PERUM UTAMA WIDODO
OSS_13,OSS,99,9396856218501,UD SUSANTI NASYIDAH
OSS_13,OSS,5283,9396856218501,UD SUSANTI NASYIDAH
OSS_14,OSS,101,2126788861015,PD PUTRA SIREGAR (PERSERO) TBK
OSS_14,OSS,5485,2126788861015,PD PUTRA SIREGAR (PERSERO) TBK
OSS_15,OSS,5219,2444721264647,PT HARDIANSYAH SIREGAR
OSS_15,OSS,102,2444721264647,PT HARDIANSYAH SIREGAR
OSS_16,OSS,114,0684577590175,PERUM WULANDARI (PERSERO) TBK
OSS_16,OSS,5421,0684577590175,PERUM WULANDARI (PERSERO) TBK
OSS_17,OSS,5348,0506413836702,PT NASYIAH (PERSERO) TBK
OSS_17,OSS,125,0506413836702,PT NASYIAH (PERSERO) TBK
OSS_18,OSS,5483,5932525002921,CV PRABOWO
OSS_18,OSS,133,5932525002921,CV PRABOWO
OSS_19,OSS,5274,5054447132475,UD ASTUTI KURNIAWAN (PERSERO) TBK
OSS_19,OSS,143,5054447132475,UD ASTUTI KURNIAWAN (PERSERO) TBK
OSS_20,OSS,5393,0545444328309,PERUM JAILANI
OSS_20,OSS,147,0545444328309,PERUM JAILANI
OSS_21,OSS,5457,6978292216995,UD PRATAMA
OSS_21,OSS,163,6978292216995,UD PRATAMA
OSS_22,OSS,168,1826886153355,CV AGUSTINA TBK
OSS_22,OSS,5137,1826886153355,CV AGUSTINA TBK
OSS_23,OSS,5256,3356588043416,CV KUSWOYO DONGORAN (PERSERO) TBK
OSS_23,OSS,188,3356588043416,CV KUSWOYO DONGORAN (PERSERO) TBK
OSS_24,OSS,5496,1559428434795,CV GUNARTO ANGGRAINI
OSS_24,OSS,191,1559428434795,CV GUNARTO ANGGRAINI
OSS_25,OSS,196,7228200557784,UD NAPITUPULU
OSS_25,OSS,5063,7228200557784,UD NAPITUPULU
OSS_26,OSS,5322,3686632663416,PD MUSTOFA
OSS_26,OSS,198,3686632663416,PD MUSTOFA
OSS_27,OSS,202,6300979251327,UD YOLANDA IRAWAN
OSS_27,OSS,5078,6300979251327,UD YOLANDA IRAWAN
OSS_28,OSS,5347,6609656999880,PERUM NUGROHO PRASTUTI (PERSERO) TBK
OSS_28,OSS,220,6609656999880,PERUM NUGROHO PRASTUTI (PERSERO) TBK
OSS_29,OSS,5073,2307681040915,PERUM ARDIANTO
OSS_29,OSS,231,2307681040915,PERUM ARDIANTO
OSS_30,OSS,233,7020701601662,UD PRANOWO
OSS_30,OSS,5190,7020701601662,UD PRANOWO
OSS_31,OSS,234,8179217174773,PERUM HARIYAH
OSS_31,OSS,5253,8179217174773,PERUM HARIYAH
OSS_32,OSS,260,6325431074279,PD NAPITUPULU MAULANA (PERSERO) TBK
OSS_32,OSS,5479,6325431074279,PD NAPITUPULU MAULANA (PERSERO) TBK
OSS_33,OSS,5156,8015716479473,PERUM SURYONO SINAGA
OSS_33,OSS,278,8015716479473,PERUM SURYONO SINAGA
OSS_34,OSS,346,2867163234672,CV JANUAR
OSS_34,OSS,5242,2867163234672,CV JANUAR
OSS_35,OSS,5147,8027148727178,PD MAULANA TBK
OSS_35,OSS,366,8027148727178,PD MAULANA TBK
OSS_36,OSS,378,8615155423401,UD WIBOWO ANGGRAINI
OSS_36,OSS,5007,8615155423401,UD WIBOWO ANGGRAINI
OSS_37,OSS,5226,4849102562588,UD LAILASARI
OSS_37,OSS,379,4849102562588,UD LAILASARI
OSS_38,OSS,385,0531340266502,PT PURNAWATI WULANDARI TBK
OSS_38,OSS,5350,0531340266502,PT PURNAWATI WULANDARI TBK
OSS_39,OSS,5057,6862110225803,CV UTAMA
OSS_39,OSS,386,6862110225803,CV UTAMA
OSS_40,OSS,5193,3960962626582,PERUM NAINGGOLAN IRAWAN TBK
OSS_40,OSS,418,3960962626582,PERUM NAINGGOLAN IRAWAN TBK
OSS_41,OSS,419,9209819602752,PERUM WIJAYA (PERSERO) TBK
OSS_41,OSS,5159,9209819602752,PERUM WIJAYA (PERSERO) TBK
OSS_42,OSS,425,0505379538164,PD MAYASARI TBK
OSS_42,OSS,5418,0505379538164,PD MAYASARI TBK
OSS_43,OSS,5209,9671883977457,UD YULIANTI WASKITA (PERSERO) TBK
OSS_43,OSS,429,9671883977457,UD YULIANTI WASKITA (PERSERO) TBK
OSS_44,OSS,5065,4912711307240,UD PERTIWI ARDIANTO TBK
OSS_44,OSS,431,4912711307240,UD PERTIWI ARDIANTO TBK
OSS_45,OSS,456,9342967111483,PT MAHENDRA
OSS_45,OSS,5228,9342967111483,PT MAHENDRA
OSS_46,OSS,5206,5956164205955,PERUM PADMASARI LESTARI
OSS_46,OSS,463,5956164205955,PERUM PADMASARI LESTARI
OSS_47,OSS,481,4520599604387,PT WIDIASTUTI MARBUN
OSS_47,OSS,5148,4520599604387,PT WIDIASTUTI MARBUN
OSS_48,OSS,482,2812371067287,PT TAMBA SINAGA
OSS_48,OSS,5323,2812371067287,PT TAMBA SINAGA
OSS_49,OSS,5360,4409079772781,PERUM SURYATMI ASTUTI (PERSERO) TBK
OSS_49,OSS,489,4409079772781,PERUM SURYATMI ASTUTI (PERSERO) TBK
OSS_50,OSS,491,6204485157919,PD SAMOSIR YUNIAR (PERSERO) TBK
OSS_50,OSS,5484,6204485157919,PD SAMOSIR YUNIAR (PERSERO) TBK
OSS_51,OSS,5332,3432406424295,PD ANGGRAINI
OSS_51,OSS,492,3432406424295,PD ANGGRAINI
OSS_52,OSS,5140,7820797996673,UD ASTUTI NARPATI (PERSERO) TBK
OSS_52,OSS,495,7820797996673,UD ASTUTI NARPATI (PERSERO) TBK
OSS_53,OSS,498,1625265469681,UD ZULAIKA TBK
OSS_53,OSS,5199,1625265469681,UD ZULAIKA TBK
OSS_54,OSS,5273,0252986707660,PD PRADIPTA TBK
OSS_54,OSS,500,0252986707660,PD PRADIPTA TBK
OSS_55,OSS,507,5770299295966,PT NURAINI SURYONO TBK
OSS_55,OSS,5028,5770299295966,PT NURAINI SURYONO TBK
OSS_56,OSS,5043,9732781952371,PD SALAHUDIN PERTIWI (PERSERO) TBK
OSS_56,OSS,511,9732781952371,PD SALAHUDIN PERTIWI (PERSERO) TBK
OSS_57,OSS,522,7403344505665,CV WIJAYANTI (PERSERO) TBK
OSS_57,OSS,5252,7403344505665,CV WIJAYANTI (PERSERO) TBK
OSS_58,OSS,5125,1918182819793,CV MANDALA THAMRIN TBK
OSS_58,OSS,526,1918182819793,CV MANDALA THAMRIN TBK
OSS_59,OSS,549,5837490797796,PERUM KUSMAWATI (PERSERO) TBK
OSS_59,OSS,5423,5837490797796,PERUM KUSMAWATI (PERSERO) TBK
OSS_60,OSS,5154,6213541597099,PD WULANDARI (PERSERO) TBK
OSS_60,OSS,571,6213541597099,PD WULANDARI (PERSERO) TBK
OSS_61,OSS,605,0733777312688,PD ANDRIANI ZULKARNAIN TBK
OSS_61,OSS,5406,0733777312688,PD ANDRIANI ZULKARNAIN TBK
OSS_62,OSS,613,3263890219947,CV SINAGA TBK
OSS_62,OSS,5303,3263890219947,CV SINAGA TBK
OSS_63,OSS,652,5869507321464,CV SIREGAR MARPAUNG TBK
OSS_63,OSS,5005,5869507321464,CV SIREGAR MARPAUNG TBK
OSS_64,OSS,5420,1844490295026,PD NASYIDAH WINARNO
OSS_64,OSS,686,1844490295026,PD NASYIDAH WINARNO
OSS_65,OSS,5424,2050682122355,UD SITUMORANG HARYANTI (PERSERO) TBK
OSS_65,OSS,689,2050682122355,UD SITUMORANG HARYANTI (PERSERO) TBK
OSS_66,OSS,691,9386948424959,CV SAEFULLAH (PERSERO) TBK
OSS_66,OSS,5287,9386948424959,CV SAEFULLAH (PERSERO) TBK
OSS_67,OSS,5157,2258937085806,UD SIREGAR
OSS_67,OSS,693,2258937085806,UD SIREGAR
OSS_68,OSS,699,6981987809270,CV HARYANTI UWAIS
OSS_68,OSS,5477,6981987809270,CV HARYANTI UWAIS
OSS_69,OSS,5158,8254318328123,PD SITOMPUL TBK
OSS_69,OSS,703,8254318328123,PD SITOMPUL TBK
OSS_70,OSS,714,6538027481242,CV SAPTONO TBK
OSS_70,OSS,5047,6538027481242,CV SAPTONO TBK
OSS_71,OSS,5257,0344096617718,PERUM SIRAIT TBK
OSS_71,OSS,735,0344096617718,PERUM SIRAIT TBK
OSS_72,OSS,755,3407851699497,UD PRADIPTA TBK
OSS_72,OSS,5141,3407851699497,UD PRADIPTA TBK
OSS_73,OSS,5352,0906053088684,CV ZULAIKA LESTARI TBK
OSS_73,OSS,774,0906053088684,CV ZULAIKA LESTARI TBK
OSS_74,OSS,786,4199643385324,PD WINARSIH
OSS_74,OSS,5186,4199643385324,PD WINARSIH
OSS_75,OSS,5002,0311587605457,PT SIREGAR
OSS_75,OSS,787,0311587605457,PT SIREGAR
OSS_76,OSS,5074,4048933261454,PD USADA RAHAYU
OSS_76,OSS,790,4048933261454,PD USADA RAHAYU
OSS_77,OSS,5123,1785221158718,PD SITUMORANG
OSS_77,OSS,791,1785221158718,PD SITUMORANG
OSS_78,OSS,5320,5953322273938,PD SUDIATI MANDASARI
OSS_78,OSS,795,5953322273938,PD SUDIATI MANDASARI
OSS_79,OSS,5443,4612939002512,PT SAEFULLAH
OSS_79,OSS,812,4612939002512,PT SAEFULLAH
OSS_80,OSS,5456,6220334742463,CV HASANAH
OSS_80,OSS,814,6220334742463,CV HASANAH
OSS_81,OSS,5177,0654963308334,UD KUSMAWATI
OSS_81,OSS,823,0654963308334,UD KUSMAWATI
OSS_82,OSS,5419,5969838457202,UD NABABAN TBK
OSS_82,OSS,836,5969838457202,UD NABABAN TBK
OSS_83,OSS,5366,3478536988164,PERUM PURNAWATI TBK
OSS_83,OSS,839,3478536988164,PERUM PURNAWATI TBK
OSS_84,OSS,5449,2590073971307,CV KURNIAWAN
OSS_84,OSS,869,2590073971307,CV KURNIAWAN
OSS_85,OSS,5355,0000886346739,PT PRAKASA TBK
OSS_85,OSS,876,0000886346739,PT PRAKASA TBK
OSS_86,OSS,5072,5273536423570,CV GUNARTO (PERSERO) TBK
OSS_86,OSS,881,5273536423570,CV GUNARTO (PERSERO) TBK
OSS_87,OSS,882,5590461007923,PERUM MANSUR
OSS_87,OSS,5308,5590461007923,PERUM MANSUR
OSS_88,OSS,898,0501476427896,PD PRADANA TBK
OSS_88,OSS,5310,0501476427896,PD PRADANA TBK
OSS_89,OSS,5251,7066320162907,CV RAHMAWATI SARAGIH
OSS_89,OSS,935,7066320162907,CV RAHMAWATI SARAGIH
OSS_90,OSS,5345,6780664315890,UD BUDIYANTO TBK
OSS_90,OSS,938,6780664315890,UD BUDIYANTO TBK
OSS_91,OSS,5112,1961276620808,CV MARBUN
OSS_91,OSS,941,1961276620808,CV MARBUN
OSS_92,OSS,5361,0762914304913,PD PURNAWATI (PERSERO) TBK
OSS_92,OSS,948,0762914304913,PD PURNAWATI (PERSERO) TBK
OSS_93,OSS,5008,8056820175307,PERUM SIRAIT (PERSERO) TBK
OSS_93,OSS,950,8056820175307,PERUM SIRAIT (PERSERO) TBK
OSS_94,OSS,5460,4741253137956,PD WIBISONO KUSWANDARI (PERSERO) TBK
OSS_94,OSS,951,4741253137956,PD WIBISONO KUSWANDARI (PERSERO) TBK
OSS_95,OSS,955,6077004093045,PD PRASETYA (PERSERO) TBK
OSS_95,OSS,5436,6077004093045,PD PRASETYA (PERSERO) TBK
OSS_96,OSS,5070,4311326611584,CV NURDIYANTI
OSS_96,OSS,958,4311326611584,CV NURDIYANTI
OSS_97,OSS,5413,4722053970774,PT PRATAMA NATSIR
OSS_97,OSS,959,4722053970774,PT PRATAMA NATSIR
OSS_98,OSS,5321,3605028164098,UD SALAHUDIN MARBUN (PERSERO) TBK
OSS_98,OSS,962,3605028164098,UD SALAHUDIN MARBUN (PERSERO) TBK
OSS_99,OSS,5036,7058416806134,CV GUNARTO LAZUARDI
OSS_99,OSS,980,7058416806134,CV GUNARTO LAZUARDI
OSS_100,OSS,5248,6824051665451,PERUM RIYANTI SITUMORANG
OSS_100,OSS,983,6824051665451,PERUM RIYANTI SITUMORANG
OSS_101,OSS,5230,0623272371798,PT PRATIWI
OSS_101,OSS,991,0623272371798,PT PRATIWI
OSS_102,OSS,5115,3302650996218,PERUM PRAYOGA SAPTONO TBK
OSS_102,OSS,1004,3302650996218,PERUM PRAYOGA SAPTONO TBK
OSS_103,OSS,1011,1078187109685,PERUM WIDODO SAFITRI
OSS_103,OSS,5364,1078187109685,PERUM WIDODO SAFITRI
OSS_104,OSS,1040,5701652761368,PERUM RAHMAWATI (PERSERO) TBK
OSS_104,OSS,5241,5701652761368,PERUM RAHMAWATI (PERSERO) TBK
OSS_105,OSS,5189,7397984218914,PERUM LAILASARI
OSS_105,OSS,1077,7397984218914,PERUM LAILASARI
OSS_106,OSS,5080,4453451466886,PT NURAINI ZULKARNAIN
OSS_106,OSS,1085,4453451466886,PT NURAINI ZULKARNAIN
OSS_107,OSS,1105,9276713771886,PERUM WINARNO
OSS_107,OSS,5197,9276713771886,PERUM WINARNO
OSS_108,OSS,1115,5174192581476,CV YOLANDA KURNIAWAN (PERSERO) TBK
OSS_108,OSS,5475,5174192581476,CV YOLANDA KURNIAWAN (PERSERO) TBK
OSS_109,OSS,5090,1814442484202,UD ANGGRIAWAN FARIDA TBK
OSS_109,OSS,1119,1814442484202,UD ANGGRIAWAN FARIDA TBK
OSS_110,OSS,1121,8261103565942,PT WAHYUDIN (PERSERO) TBK
OSS_110,OSS,5019,8261103565942,PT WAHYUDIN (PERSERO) TBK
OSS_111,OSS,1124,9285507435095,PERUM GUNARTO PRAKASA TBK
OSS_111,OSS,5079,9285507435095,PERUM GUNARTO PRAKASA TBK
OSS_112,OSS,1130,3849368063585,PT YOLANDA UWAIS
OSS_112,OSS,5486,3849368063585,PT YOLANDA UWAIS
OSS_113,OSS,1144,2421959730912,PERUM HANDAYANI WASITA (PERSERO) TBK
OSS_113,OSS,5096,2421959730912,PERUM HANDAYANI WASITA (PERSERO) TBK
OSS_114,OSS,1154,4191479053472,UD SIHOMBING TBK
OSS_114,OSS,5167,4191479053472,UD SIHOMBING TBK
OSS_115,OSS,5041,2519701815891,PERUM HASANAH (PERSERO) TBK
OSS_115,OSS,1183,2519701815891,PERUM HASANAH (PERSERO) TBK
OSS_116,OSS,1185,3910657351745,UD KUSWOYO
OSS_116,OSS,5258,3910657351745,UD KUSWOYO
OSS_117,OSS,5211,5687094124605,PT LAILASARI
OSS_117,OSS,1187,5687094124605,PT LAILASARI
OSS_118,OSS,5224,4249562917964,PERUM KUSUMO
OSS_118,OSS,1199,4249562917964,PERUM KUSUMO
OSS_119,OSS,5162,6772443435497,CV BUDIYANTO (PERSERO) TBK
OSS_119,OSS,1206,6772443435497,CV BUDIYANTO (PERSERO) TBK
OSS_120,OSS,1210,0184293359847,PT PUDJIASTUTI (PERSERO) TBK
OSS_120,OSS,5359,0184293359847,PT PUDJIASTUTI (PERSERO) TBK
OSS_121,OSS,5097,4427873554042,PT TAMPUBOLON IRAWAN (PERSERO) TBK
OSS_121,OSS,1212,4427873554042,PT TAMPUBOLON IRAWAN (PERSERO) TBK
OSS_122,OSS,1229,2392788447909,CV IRAWAN TBK
OSS_122,OSS,5270,2392788447909,CV IRAWAN TBK
OSS_123,OSS,5171,8170361007701,PD WINARSIH (PERSERO) TBK
OSS_123,OSS,1237,8170361007701,PD WINARSIH (PERSERO) TBK
OSS_124,OSS,1240,7317394624872,CV RAJATA (PERSERO) TBK
OSS_124,OSS,5114,7317394624872,CV RAJATA (PERSERO) TBK
OSS_125,OSS,5286,9916764032391,PD ASTUTI (PERSERO) TBK
OSS_125,OSS,1247,9916764032391,PD ASTUTI (PERSERO) TBK
OSS_126,OSS,1257,9687403304544,UD MARYADI WIDIASTUTI TBK
