NIB,field,source
0433218196001,NIB,OSS
0433218196001,NPWP,OSS
0433218196001,NAMA,OSS
0433218196001,NAMA_SINGKATAN,N/A
0433218196001,JENIS_PERSEROAN,OSS
0433218196001,STATUS_BADAN_HUKUM,OSS
0433218196001,STATUS_PERSEROAN,OSS
0433218196001,ALAMAT,OSS
0433218196001,KELURAHAN,OSS
0433218196001,DAERAH_ID,OSS
0433218196001,KODE_POS,OSS
0433218196001,FLAG_IMPOR,OSS
0433218196001,FLAG_EKSPOR,OSS
0433218196001,JENIS_API,N/A
0433218196001,KODE_KANTOR,CEISA
0433218196001,NOMOR_TELPON,CEISA
0433218196001,KATEGORI,CEISA
0433218196001,NIPER,N/A
0433218196001,NOMOR_API,CEISA
0433218196001,ID_PERUSAHAAN,CEISA
0433218196001,TGL_PERUBAHAN_NIB,OSS
0433218196001,TGL_TERBIT_NIB,CEISA
0433218196001,TGL_SYNC_OSS,CEISA
0433218196001,STATUS_NIB,OSS
6542351161559,NIB,OSS
6542351161559,NPWP,OSS
6542351161559,NAMA,OSS
6542351161559,NAMA_SINGKATAN,OSS
6542351161559,JENIS_PERSEROAN,OSS
6542351161559,STATUS_BADAN_HUKUM,OSS
6542351161559,STATUS_PERSEROAN,OSS
6542351161559,ALAMAT,OSS
6542351161559,KELURAHAN,OSS
6542351161559,DAERAH_ID,OSS
6542351161559,KODE_POS,N/A
6542351161559,FLAG_IMPOR,OSS
6542351161559,FLAG_EKSPOR,OSS
6542351161559,JENIS_API,OSS
6542351161559,KODE_KANTOR,CEISA
6542351161559,NOMOR_TELPON,CEISA
6542351161559,KATEGORI,CEISA
6542351161559,NIPER,CEISA
6542351161559,NOMOR_API,CEISA
6542351161559,ID_PERUSAHAAN,CEISA
6542351161559,TGL_PERUBAHAN_NIB,OSS
6542351161559,TGL_TERBIT_NIB,CEISA
6542351161559,TGL_SYNC_OSS,CEISA
6542351161559,STATUS_NIB,OSS
3056413953767,NIB,OSS
3056413953767,NPWP,OSS
3056413953767,NAMA,OSS
3056413953767,NAMA_SINGKATAN,OSS
3056413953767,JENIS_PERSEROAN,OSS
3056413953767,STATUS_BADAN_HUKUM,OSS
3056413953767,STATUS_PERSEROAN,OSS
3056413953767,ALAMAT,OSS
3056413953767,KELURAHAN,OSS
3056413953767,DAERAH_ID,OSS
3056413953767,KODE_POS,N/A
3056413953767,FLAG_IMPOR,OSS
3056413953767,FLAG_EKSPOR,OSS
3056413953767,JENIS_API,N/A
3056413953767,KODE_KANTOR,CEISA
3056413953767,NOMOR_TELPON,CEISA
3056413953767,KATEGORI,CEISA
3056413953767,NIPER,CEISA
3056413953767,NOMOR_API,N/A
3056413953767,ID_PERUSAHAAN,CEISA
3056413953767,TGL_PERUBAHAN_NIB,OSS
3056413953767,TGL_TERBIT_NIB,CEISA
3056413953767,TGL_SYNC_OSS,CEISA
3056413953767,STATUS_NIB,OSS
8710122691669,NIB,OSS
8710122691669,NPWP,OSS
8710122691669,NAMA,OSS
8710122691669,NAMA_SINGKATAN,OSS
8710122691669,JENIS_PERSEROAN,OSS
8710122691669,STATUS_BADAN_HUKUM,OSS
8710122691669,STATUS_PERSEROAN,OSS
8710122691669,ALAMAT,OSS
8710122691669,KELURAHAN,N/A
8710122691669,DAERAH_ID,OSS
8710122691669,KODE_POS,N/A
8710122691669,FLAG_IMPOR,OSS
8710122691669,FLAG_EKSPOR,OSS
8710122691669,JENIS_API,OSS
8710122691669,KODE_KANTOR,CEISA
8710122691669,NOMOR_TELPON,CEISA
8710122691669,KATEGORI,CEISA
8710122691669,NIPER,N/A
8710122691669,NOMOR_API,CEISA
8710122691669,ID_PERUSAHAAN,CEISA
8710122691669,TGL_PERUBAHAN_NIB,OSS
8710122691669,TGL_TERBIT_NIB,CEISA
8710122691669,TGL_SYNC_OSS,CEISA
8710122691669,STATUS_NIB,OSS
1718227824896,NIB,OSS
1718227824896,NPWP,OSS
1718227824896,NAMA,OSS
1718227824896,NAMA_SINGKATAN,OSS
1718227824896,JENIS_PERSEROAN,OSS
1718227824896,STATUS_BADAN_HUKUM,OSS
1718227824896,STATUS_PERSEROAN,OSS
1718227824896,ALAMAT,OSS
1718227824896,KELURAHAN,OSS
