dataset,gate,description,value,threshold,status
OSS,NIB_FORMAT,NIB 13 digit numerik,100.0,100,PASS
OSS,NPWP_FORMAT,NPWP_PERSEROAN format baku XX.XXX.XXX.X-XXX.XXX,100.0,100,PASS
OSS,STATUS_NIB_VALID,STATUS_NIB hanya nilai valid (AKTIF/DIBEKUKAN/DICABUT),100.0,100,PASS
OSS,MANDATORY_COMPLETE,Field wajib (NIB/NPWP/NAMA/STATUS_NIB) terisi,100.0,100,PASS
OSS,DAERAH_VALID,PERSEROAN_DAERAH_ID terdaftar di referensi PROVINSI,100.0,100,PASS
CEISA,NIB_FORMAT,NIB 13 digit numerik,100.0,100,PASS
CEISA,NIB_UNIQUE,1 baris per NIB (data mart sudah dedup),100.0,100,PASS
CEISA,NPWP_FORMAT,"NPWP format baku (anomali ""Inconsistent NPWP"" ditoleransi & ditandai IS_NPWP_INVALID)",81.5,75,PASS
CEISA,STATUS_NIB_VALID,STATUS_NIB hanya nilai valid (AKTIF/DIBEKUKAN/DICABUT),100.0,100,PASS
CEISA,MANDATORY_COMPLETE,Field wajib (NIB/NPWP/NAMA/STATUS_NIB) terisi,100.0,100,PASS
CEISA,DAERAH_VALID,DAERAH_ID terdaftar di referensi PROVINSI,100.0,100,PASS
